报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),30264,17361,6672,35603,17517,10746,3944,28112,14087,9089,3382,21590,12077,8456,3212,20758,12600,17613,9483,
营业收入(万元),30264,17361,6672,35603,17517,10746,3944,28112,14087,9089,3382,21590,12077,8456,3212,20758,12600,17613,9483,
利息收入(万元),,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,
营业总成本(万元),30078,18452,8467,33954,19464,12624,5288,25090,14182,9242,3699,17869,11770,8450,3648,17841,13302,14957,9273,
营业成本(万元),9000,5477,2320,11913,4916,3399,1306,10013,4291,2703,844,5936,3817,2874,1185,7147,4280,7381,3483,
利息支出(万元),,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,
研发费用(万元),6756,3999,1814,7041,4007,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),341,207,91,481,227,133,66,422,207,130,48,354,181,95,30,343,244,199,142,
销售费用(万元),6151,3743,1666,7331,4381,2712,1253,5037,3075,2055,707,4315,2457,1843,591,3788,2998,3060,1984,
管理费用(万元),7984,5122,2486,6819,5737,6252,2635,9328,6351,4132,2028,7056,5082,3439,1781,6232,5802,3961,3631,
财务费用(万元),-154,-97,-55,-168,-126,-90,-45,-77,-36,-21,-6,-31,-13,-14,-1,-19,-0,36,-5,
资产减值损失(万元),,,145,536,322,217,73,367,294,243,78,238,245,213,60,350,-23,321,40,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,
投资收益(万元),44,19,,286,251,175,74,120,-0,-0,-0,,,,,,2,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,
营业利润(万元),1542,-456,-1166,5091,-16,-356,-651,5227,556,446,-316,3722,308,5,-436,2917,-700,2656,210,
营业外收入(万元),6,2,0,93,28,28,11,47,432,406,372,1757,1303,592,365,2911,1516,2335,2183,
营业外支出(万元),128,80,13,83,36,14,1,90,53,40,30,38,23,13,8,57,54,25,62,
非流动资产处置损失(万元),,,,,,,,,0,0,,,,,,,20,,,
利润总额(万元),1419,-533,-1179,5100,-24,-342,-641,5184,935,812,25,5441,1587,585,-80,5771,762,4966,2331,
所得税费用(万元),46,96,85,857,349,158,217,322,57,177,171,606,352,149,161,868,301,799,417,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,
净利润(万元),1373,-629,-1263,4244,-374,-500,-858,4862,878,635,-146,4835,1236,436,-241,4903,461,4167,1914,
归属于母公司所有者的净利润(万元),1373,-629,-1263,4244,-374,-500,-858,4862,878,635,-146,4835,1236,436,-241,4903,461,4168,1915,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,-2,-1,
基本每股收益,0.1,-0.05,-0.1,0.32,-0.03,-0.04,-0.14,0.67,0.12,0.1,,0.79,0.2,0.07,,0.8,0.08,0.71,0.35,
稀释每股收益,0.1,-0.05,-0.1,0.32,-0.03,-0.04,-0.14,0.67,0.12,0.1,,0.79,0.2,0.07,,0.8,0.08,0.71,0.35,
