报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),61047,33414,9742,69121,47505,26494,9003,49781,30313,16418,3674,34348,29216,26443,26212,
营业收入(万元),61047,33414,9742,69121,47505,26494,9003,49781,30313,16418,3674,34348,29216,26443,26212,
利息收入(万元),,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,
营业总成本(万元),40217,26770,12204,55293,36633,22269,10522,40364,23142,14786,6037,26616,21577,19037,20412,
营业成本(万元),10666,7100,2761,14746,8700,5168,2451,10440,4612,3176,978,6759,5090,6490,4154,
利息支出(万元),,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,
研发费用(万元),15290,10145,4564,16709,11737,,,,8233,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,
营业税金及附加(万元),316,186,107,1816,1217,383,219,1016,536,356,84,660,616,346,390,
销售费用(万元),11849,7621,3434,16259,11179,7128,3585,12048,7091,4053,1839,7006,4665,3774,3913,
管理费用(万元),4761,3198,1363,5570,3730,9860,4184,16616,3036,7067,3227,12735,10419,8460,11796,
财务费用(万元),-2665,-1481,-576,-2605,-1960,-1024,-32,-72,-100,-138,-135,-819,-461,-386,-340,
资产减值损失(万元),,,552,2798,2030,755,115,317,-266,271,44,275,1247,353,499,
公允价值变动收益(万元),,,,,,,,,,,,,,,,
投资收益(万元),79,-27,,-14,-14,-14,,14,5,5,,563,28,-12,-34,
对联营企业和合营企业的投资收益(万元),,,,-14,,,,14,,5,,14,28,-12,-34,
汇兑收益(万元),,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,
营业利润(万元),21037,7282,-518,22072,17492,6857,386,14141,10638,3343,-774,8295,7668,7393,5766,
营业外收入(万元),55,31,19,294,274,225,4,348,342,636,9,3382,2430,1734,1454,
营业外支出(万元),4,2,2,34,16,1,0,19,19,13,,5,36,4,0,
非流动资产处置损失(万元),,,,,,,,,,4,,2,16,1,0,
利润总额(万元),21088,7311,-500,22332,17750,7081,390,14470,10961,3965,-765,11672,10062,9124,7220,
所得税费用(万元),3468,677,121,1856,2112,871,98,1237,1428,378,5,1616,1238,1290,1494,
未确认投资损失(万元),,,,,,,,,,,,,,,,
净利润(万元),17620,6634,-621,20475,15638,6210,292,13233,9533,3587,-770,10056,8824,7834,5726,
归属于母公司所有者的净利润(万元),17620,6634,-621,20475,15638,6210,292,13233,9533,3587,-770,10056,8824,7834,5726,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,
基本每股收益,1.65,0.62,-0.06,1.92,1.47,0.58,0.04,2.57,1.19,0.72,-0.15,2.01,1.86,1.82,1.34,
稀释每股收益,1.65,0.62,-0.06,1.92,1.47,0.58,0.04,2.57,1.19,0.72,-0.15,2.01,1.86,1.82,1.34,
