报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,
营业总收入(万元),53048,36397,57770,44188,36077,66910,42804,57127,31616,53853,17796,19751,5012,4979,1574,4907,2745,11391,4862,4856,3876,5038,2050,
营业收入(万元),53048,36397,57770,44188,36077,66910,42804,57127,31616,53853,17796,19751,5012,4979,1574,4907,2745,11391,4862,4856,3876,5038,2050,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),41000,26859,44459,33886,24226,52042,28318,43372,23173,41994,12813,19616,4986,8804,2964,7914,3499,11318,5270,8784,3465,9638,2476,
营业成本(万元),6710,4238,8407,5957,3896,7792,3502,6406,3633,6105,541,1013,266,777,346,1047,632,1489,698,846,140,1114,411,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),5808,3404,4344,3190,1901,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),898,651,816,614,357,732,260,686,315,498,171,173,14,150,103,243,144,603,253,265,205,260,,
销售费用(万元),24346,16283,26347,20383,15227,35201,20070,27618,14466,29087,9323,11168,2491,3933,1319,2555,1177,4743,2533,3507,1536,2108,667,
管理费用(万元),3913,2385,4578,3723,2747,8152,4435,8626,4726,8236,2734,7086,2214,3934,1197,3900,1546,4277,1784,3912,1572,4018,1404,
财务费用(万元),-675,-133,-37,19,101,87,49,32,30,66,23,13,1,1,-2,-10,-0,10,0,23,11,-26,-28,
资产减值损失(万元),,,3,,-4,78,1,4,3,223,19,162,,9,,178,,197,,230,,2164,21,
公允价值变动收益(万元),,,,,,2,1,-1,-42,-17,23,-12,,,,,,-9,,2,,9,8,
投资收益(万元),942,725,2097,1588,1151,1789,721,1850,-12,2239,239,773,143,-37,5,-70,-100,92,15,118,-38,-205,-105,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,-0,,-17,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),15956,12339,15791,12281,13345,17607,15427,15604,8389,11859,5245,896,169,-3863,-1385,-3077,-854,155,-393,-3808,373,-4796,-522,
营业外收入(万元),4,1,0,0,0,9,0,1266,254,1186,1059,604,3,532,514,13,9,42,12,15,10,24,0,
营业外支出(万元),6,6,174,172,100,1,3,72,55,34,6,3,1,16,0,95,0,34,30,139,9,148,58,
非流动资产处置损失(万元),,,,,,,3,70,55,9,6,3,,15,,30,,30,,109,,87,,
利润总额(万元),15953,12334,15618,12109,13245,17615,15424,16798,8589,13010,6297,1497,172,-3346,-871,-3159,-846,163,-411,-3932,374,-4920,-580,
所得税费用(万元),3400,2599,2922,2129,2202,2276,2589,2446,2429,2520,714,-1435,,,,,7,9,,,,-14,-20,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),12553,9735,12696,9979,11043,15339,12835,14352,6160,10490,5583,2932,172,-3346,-871,-3159,-852,154,-411,-3932,374,-4906,-560,
归属于母公司所有者的净利润(万元),12553,9735,12787,10068,11128,15477,12881,14461,6212,10530,5583,2932,172,-3346,-871,-3155,-849,145,-408,-3930,387,-4864,-555,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),,,-91,-89,-85,-138,-47,-109,-52,-40,,,,,,-3,-3,9,-3,-2,-13,-42,-5,
基本每股收益,0.36,0.28,0.37,0.29,0.32,0.44,0.37,0.66,0.28,0.74,0.39,0.2,0.02,-0.46,-0.12,-0.43,-0.12,0.02,-0.06,-0.54,0.05,-0.67,-0.08,
稀释每股收益,,0.28,0.37,,0.32,0.44,0.37,0.66,0.28,0.74,0.39,0.2,0.02,-0.46,-0.12,-0.43,-0.12,0.02,-0.06,-0.54,0.05,-0.67,-0.08,
