报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),3285571,2026384,998186,2961127,1913592,935958,371164,1999686,1197090,629470,145439,1487899,570288,86679,
营业收入(万元),3285571,2026384,998186,2961127,1913592,935958,371164,1999686,1197090,629470,145439,1487899,570288,86679,
利息收入(万元),,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,
营业总成本(万元),2823281,1719571,881789,2572918,1653443,842021,335370,1687526,1040280,548418,155197,1158474,465816,86652,
营业成本(万元),2330141,1422673,711613,1990228,1315048,643157,249564,1274019,769766,393460,90526,837680,349920,64373,
利息支出(万元),,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,
研发费用(万元),225595,141311,74859,199100,114785,,,,107859,,,,,,
退保金(万元),,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,
营业税金及附加(万元),20151,11791,8664,17118,10146,3537,1479,9590,4434,2403,441,10922,3963,1,
销售费用(万元),147753,80407,40118,137887,84688,44880,14775,79577,50416,26940,7463,63219,33092,4329,
管理费用(万元),162902,106195,52505,159066,98382,132034,56503,295649,90523,115884,53843,215223,62058,15232,
财务费用(万元),-63261,-42805,-11046,-27973,-15072,-2298,277,4217,5770,4813,2924,8044,10919,2457,
资产减值损失(万元),,,3621,97491,45466,20713,12772,24474,11512,4918,,23386,5864,259,
公允价值变动收益(万元),,,,-31425,,,,,,,,,,,
投资收益(万元),-6262,-4589,1680,18440,6943,5984,2797,134431,134411,124599,8517,7608,146,1612,
对联营企业和合营企业的投资收益(万元),-792,-620,210,-426,958,2001,1204,-4998,-1948,-1318,-1298,2167,-966,1302,
汇兑收益(万元),,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,
营业利润(万元),444628,281255,132113,416848,307173,121579,53989,483202,329320,232866,-1274,321212,104559,1638,
营业外收入(万元),4610,1001,655,6230,1598,816,345,1866,1355,698,4314,18897,7119,4622,
营业外支出(万元),3469,1759,526,2597,429,328,233,258,454,283,3,88,1675,17,
非流动资产处置损失(万元),,,,,,,,,,228,,,,10,
利润总额(万元),445769,280497,132242,420481,308342,122067,54101,484810,330221,233282,3037,340021,110003,6243,
所得税费用(万元),69747,45847,20560,46892,44119,15078,7174,65404,47092,31207,1388,48178,14945,687,
未确认投资损失(万元),,,,,,,,,,,,,,,
净利润(万元),376022,234650,111682,373590,264224,106989,46926,419406,283129,202074,1650,291844,95058,5556,
归属于母公司所有者的净利润(万元),346431,210244,104723,338704,237850,91095,41335,387795,257051,185694,-1169,285182,93065,5443,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,
少数股东损益(万元),29591,24406,6959,34886,26374,15894,5592,31610,26078,16381,3599,6662,1993,114,
基本每股收益,1.6,0.97,0.48,1.64,1.17,0.47,0.21,2.01,1.33,0.97,-0.02,1.87,0.78,,
稀释每股收益,1.6,0.97,0.48,1.64,1.17,,,,1.33,,,,,,
