报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),47890,30209,13743,56082,40804,26741,12764,45508,32050,20023,9139,39455,28697,18226,8905,35114,32436,23965,29761,27771,23456,
营业收入(万元),47890,30209,13743,56082,40804,26741,12764,45508,32050,20023,9139,39455,28697,18226,8905,35114,32436,23965,29761,27771,23456,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),44898,28633,13420,52184,37223,24732,12060,42687,30251,18953,8570,33527,24249,15213,7293,29714,28269,20915,26154,24512,22440,
营业成本(万元),34472,21837,10353,40834,29312,19318,9373,33936,24102,14953,6631,26748,19278,12057,5690,24306,23876,17666,21661,20979,18559,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),1315,790,316,1735,1360,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),378,245,89,390,267,177,69,273,177,121,58,225,116,67,24,129,47,24,18,9,8,
销售费用(万元),4726,3131,1429,5246,3644,2311,1001,3942,2859,1881,831,3270,2289,1450,660,1789,1295,934,1005,917,553,
管理费用(万元),3311,2101,853,2960,2210,2372,1193,3705,2659,1766,953,3127,2353,1589,754,3381,2670,1981,2961,2384,3165,
财务费用(万元),697,529,313,259,128,194,330,482,320,194,90,-170,45,-8,94,15,247,166,280,138,89,
资产减值损失(万元),,,4,760,302,361,94,349,135,38,7,326,169,58,71,94,135,144,229,86,66,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),55,36,2,173,120,105,21,185,65,14,,13,2,2,2,29,,,,,9,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),3106,1770,556,4245,3803,2183,732,3231,1960,1093,569,5940,4451,3015,1615,5429,4167,3050,3607,3258,1025,
营业外收入(万元),9,9,9,261,240,240,36,385,72,35,26,333,211,118,79,327,327,258,265,202,202,
营业外支出(万元),794,209,3,77,15,8,4,2,2,0,0,7,4,4,4,28,67,56,20,8,13,
非流动资产处置损失(万元),,,,,,3,,,0,0,0,0,0,0,0,8,47,36,3,0,1,
利润总额(万元),2321,1570,562,4428,4029,2415,763,3613,2030,1128,594,6267,4658,3129,1690,5727,4427,3252,3852,3453,1214,
所得税费用(万元),626,369,87,608,677,392,150,550,423,287,164,906,674,425,189,701,565,744,557,454,358,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,
净利润(万元),1695,1201,475,3821,3352,2023,613,3063,1607,841,430,5360,3985,2704,1501,5027,3862,2507,3295,2999,857,
归属于母公司所有者的净利润(万元),1536,1090,432,3517,3140,1902,559,3038,1607,841,430,5360,3985,2704,1501,5027,3862,2507,3295,2999,873,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),160,111,42,303,211,121,54,25,,,,,,,,,,,,,-16,
基本每股收益,0.14,0.1,0.06,0.45,0.48,0.32,0.09,0.53,0.28,0.15,0.07,1.19,0.89,0.6,0.33,1.12,0.86,0.56,0.73,,,
稀释每股收益,0.14,0.1,0.06,0.45,0.48,0.32,0.09,0.53,0.28,0.15,0.07,1.19,0.89,0.6,0.33,1.12,0.86,0.56,0.73,,,
