报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),42963,21653,8812,39014,25297,14199,5010,23253,13007,7637,3446,17789,10151,6260,14784,14061,9614,
营业收入(万元),42963,21653,8812,39014,25297,14199,5010,23253,13007,7637,3446,17789,10151,6260,14784,14061,9614,
利息收入(万元),,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,
营业总成本(万元),35986,18315,7709,32625,20663,11678,4119,17571,9246,5545,2606,13044,7533,4867,10603,10017,6779,
营业成本(万元),30159,14815,6029,26850,17208,9418,3322,14021,7038,3978,1723,9202,4942,3122,8083,7024,4784,
利息支出(万元),,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,
研发费用(万元),1345,715,262,1283,844,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,
营业税金及附加(万元),508,287,126,453,334,209,110,465,338,272,132,482,126,76,166,156,16,
销售费用(万元),167,107,58,268,153,98,32,128,82,53,20,88,54,44,72,74,39,
管理费用(万元),1265,847,475,1473,1010,1251,486,2089,1307,892,427,1882,1531,995,1450,1289,934,
财务费用(万元),2543,1543,804,1507,889,422,180,716,554,412,211,1139,854,578,953,1345,799,
资产减值损失(万元),,,,791,226,281,-11,152,-72,-63,93,251,25,52,-121,129,208,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,
投资收益(万元),40,12,1,104,104,102,77,175,11,11,8,19,12,6,28,24,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,
营业利润(万元),7167,3693,1378,7783,5557,3159,1231,7080,4619,2667,848,4764,2630,1399,4208,4068,2834,
营业外收入(万元),,,,170,70,70,,52,2,2,246,1923,769,364,279,24,257,
营业外支出(万元),7,5,1,3,1,,,1,1,1,,2,0,0,7,26,0,
非流动资产处置损失(万元),,,,,,,,,,,,2,,,0,4,,
利润总额(万元),7160,3688,1378,7949,5626,3229,1231,7131,4620,2668,1094,6685,3399,1763,4480,4066,3091,
所得税费用(万元),856,472,290,1545,1219,744,357,1742,910,650,322,1662,679,498,1014,752,478,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,
净利润(万元),6304,3217,1088,6405,4407,2485,874,5389,3709,2018,772,5023,2719,1266,3466,3314,2613,
归属于母公司所有者的净利润(万元),6061,3072,1013,6044,4145,2301,809,5069,3444,1877,720,4619,2602,1171,3282,3185,2566,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,-70,,
少数股东损益(万元),244,144,76,360,263,184,65,320,266,140,53,404,118,94,184,130,47,
基本每股收益,0.38,0.19,0.06,0.38,0.26,0.14,0.08,0.57,0.42,0.23,0.09,0.58,0.33,0.15,0.5,,,
稀释每股收益,0.37,0.19,0.06,0.38,0.26,0.14,0.08,0.57,0.42,,0.09,,0.33,,,,,
