报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),110241,63693,22644,175083,97734,51813,7252,136045,53673,25717,96410,73586,56911,
营业收入(万元),110241,63693,22644,175083,97734,51813,7252,136045,53673,25717,96410,73586,56911,
利息收入(万元),,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,
营业总成本(万元),100767,58973,22336,159458,90262,48252,8349,123568,52849,26607,85292,66548,50999,
营业成本(万元),87985,50816,18987,138301,77101,40627,6113,103181,42017,20200,71771,54098,40909,
利息支出(万元),,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,
研发费用(万元),3540,2190,1118,5390,3425,2294,1170,4211,2291,,2877,2070,,
退保金(万元),,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,
营业税金及附加(万元),649,349,224,1000,696,450,248,637,323,178,263,1869,1434,
销售费用(万元),4085,2835,1350,6096,4374,2838,1458,5720,4054,2780,4669,2977,2167,
管理费用(万元),5006,3117,1908,5187,3464,2226,1163,4793,3113,3268,3265,3234,4715,
财务费用(万元),-498,-333,-19,741,577,325,167,557,375,258,156,98,357,
资产减值损失(万元),,,-1231,2743,625,-508,-1970,4470,676,-77,2292,2201,1417,
公允价值变动收益(万元),,,,,,,,,,,,,,
投资收益(万元),560,479,160,907,456,283,-99,791,128,96,601,163,17,
对联营企业和合营企业的投资收益(万元),237,194,4,790,411,270,-99,756,96,76,509,,,
汇兑收益(万元),,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,
营业利润(万元),8822,4751,467,16721,8018,3923,-1195,13508,980,-794,11718,7419,5929,
营业外收入(万元),,,,0,19,7,,31,19,16,342,151,33,
营业外支出(万元),71,67,2,131,,,,31,11,3,36,81,53,
非流动资产处置损失(万元),,,,,,,,,,3,,,33,
利润总额(万元),8751,4684,465,16591,8037,3929,-1195,13508,988,-781,12025,7490,5909,
所得税费用(万元),1036,487,-17,2009,868,449,-233,1750,102,-122,1589,935,920,
未确认投资损失(万元),,,,,,,,,,,,,,
净利润(万元),7715,4197,482,14581,7170,3480,-961,11758,886,-658,10436,6555,4989,
归属于母公司所有者的净利润(万元),7718,4204,485,14596,7181,3488,-958,11776,898,-650,10441,6558,4985,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,
少数股东损益(万元),-3,-7,-3,-15,-11,-8,-4,-19,-13,-8,-5,-3,4,
基本每股收益,0.23,0.12,0.01,0.56,0.28,0.14,-0.03,0.46,0.04,-0.03,0.42,0.3,,
稀释每股收益,0.23,0.12,0.01,0.56,0.28,0.14,-0.03,0.46,0.04,-0.03,0.42,0.3,,
