报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),98204,57857,23151,163179,116758,71747,151023,71461,139877,127365,101457,
营业收入(万元),98204,57857,23151,163179,116758,71747,151023,71461,139877,127365,101457,
利息收入(万元),,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,
营业总成本(万元),94572,55873,22607,155040,110954,68940,142414,67596,133963,116983,97353,
营业成本(万元),82087,48380,19354,136305,97818,60175,125634,59695,118089,104512,85884,
利息支出(万元),,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,
研发费用(万元),4657,2804,1243,7466,5249,3548,6128,2479,5232,4299,3157,
退保金(万元),,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,
营业税金及附加(万元),475,204,78,868,510,317,936,383,785,720,461,
销售费用(万元),1347,775,251,2294,1626,1104,1940,931,2037,1880,1795,
管理费用(万元),4120,2330,1074,5851,4196,2838,5867,2692,3688,3171,3203,
财务费用(万元),1887,1381,606,2256,1555,957,1909,985,2461,2135,2538,
资产减值损失(万元),,,,,,,,432,1670,266,314,
公允价值变动收益(万元),,,,,,,-18,,18,,,
投资收益(万元),331,331,,331,331,331,193,175,-303,-1139,39,
对联营企业和合营企业的投资收益(万元),,,,,,,,,-506,-1316,-220,
汇兑收益(万元),,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,
营业利润(万元),5095,2668,490,10873,6484,3330,11282,5145,8366,9287,4144,
营业外收入(万元),5,1,1,394,305,281,325,60,69,2416,1122,
营业外支出(万元),43,37,23,82,56,54,56,24,132,25,26,
非流动资产处置损失(万元),,,,,,,,,,,,
利润总额(万元),5057,2632,467,11184,6733,3557,11551,5181,8303,11678,5240,
所得税费用(万元),674,317,15,1049,957,457,1431,822,1034,1588,545,
未确认投资损失(万元),,,,,,,,,,,,
净利润(万元),4383,2315,452,10136,5776,3100,10120,4360,7269,10090,4695,
归属于母公司所有者的净利润(万元),4383,2315,452,10136,5776,3100,10120,4360,7269,10090,4695,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,
基本每股收益,0.11,0.06,0.01,0.28,0.16,0.09,0.28,0.12,0.22,0.31,0.14,
稀释每股收益,0.11,0.06,0.01,0.28,0.16,0.09,0.28,0.12,0.22,0.31,0.14,
