报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),36987,23911,10395,50511,28043,17450,7919,37388,20408,11989,282,26200,19015,10975,
营业收入(万元),36987,23911,10395,50511,28043,17450,7919,37388,20408,11989,282,26200,19015,10975,
利息收入(万元),,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,
营业总成本(万元),25763,15719,7174,33646,18741,11184,4989,23743,14055,8885,1697,20750,16979,9771,
营业成本(万元),13086,8206,3632,19421,10388,6356,2705,12257,6817,3980,115,11255,9129,7889,
利息支出(万元),,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,
研发费用(万元),3945,2396,1327,4627,2837,,,,2140,,,,,,
退保金(万元),,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,
营业税金及附加(万元),312,129,56,572,222,215,183,712,324,91,7,261,237,71,
销售费用(万元),3448,2136,916,3812,1835,1092,415,2963,1700,1140,378,1574,872,154,
管理费用(万元),5681,3191,1299,4981,3098,3369,1703,7227,2384,3203,1263,7783,6771,1272,
财务费用(万元),-710,-338,-238,-59,-95,-39,26,2,-8,-26,-17,-16,-36,0,
资产减值损失(万元),,,181,291,456,192,-45,583,699,497,-49,-108,5,386,
公允价值变动收益(万元),,,,,,,,,,,,,,,
投资收益(万元),1383,884,670,443,34,34,,124,95,,,7,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,
营业利润(万元),12480,8601,3889,19477,9945,6909,3540,14678,6964,3480,-1039,5456,2036,1204,
营业外收入(万元),2143,706,313,2305,901,646,530,1642,1233,1205,47,1580,1006,158,
营业外支出(万元),57,57,8,241,244,230,30,4,2,,,20,61,13,
非流动资产处置损失(万元),,,,,,,,,,,,,,,
利润总额(万元),14567,9251,4195,21540,10602,7326,4040,16317,8195,4685,-992,7016,2982,1348,
所得税费用(万元),2160,1425,642,3137,1620,1229,625,2418,1309,734,24,1530,1630,380,
未确认投资损失(万元),,,,,,,,,,,,,,,
净利润(万元),12407,7826,3553,18403,8983,6096,3414,13899,6886,3951,-1016,5486,1351,967,
归属于母公司所有者的净利润(万元),12407,7826,3553,18403,8983,6096,3414,13899,6886,3951,-1016,5486,1351,967,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,
基本每股收益,1.26,0.8,0.36,2.06,1.54,1.16,0.65,2.64,1.31,0.75,-0.19,1.07,0.39,0.48,
稀释每股收益,1.26,0.8,0.36,2.06,1.54,1.16,0.65,2.64,1.31,0.75,-0.19,1.07,0.39,0.48,
