报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),115196,72331,26598,162555,94981,61461,21232,148521,91650,60590,18908,138972,82298,54115,151638,137863,129095,
营业收入(万元),115196,72331,26598,162555,94981,61461,21232,148521,91650,60590,18908,138972,82298,54115,151638,137863,129095,
利息收入(万元),,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,
营业总成本(万元),104577,65949,25933,148334,88369,56405,20887,129704,84904,55566,19711,122446,79827,51513,132767,117967,106503,
营业成本(万元),63035,40382,13349,87719,49643,34032,10146,74175,46214,32411,9700,71232,44076,28149,86165,79721,73315,
利息支出(万元),,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,
研发费用(万元),28249,16820,8385,40210,23506,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,
营业税金及附加(万元),409,352,62,350,201,184,34,369,257,217,97,413,304,105,262,289,322,
销售费用(万元),4026,2609,1264,5469,3407,2167,977,4389,2450,1550,749,4377,2479,1691,3425,2848,3257,
管理费用(万元),7448,4828,1999,10576,7613,18376,9529,45201,30800,19521,8334,44374,29765,20001,38784,31361,25902,
财务费用(万元),1410,958,567,2648,2038,1460,809,3812,2832,1846,834,3279,2351,1507,3810,3817,3726,
资产减值损失(万元),,,,1361,1962,186,-607,1757,2602,241,-3,-936,1039,288,1154,521,276,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,
投资收益(万元),677,529,7,914,257,146,-12,471,250,222,144,293,186,229,834,591,295,
对联营企业和合营企业的投资收益(万元),296,352,-0,602,177,131,-13,337,,,69,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,
营业利润(万元),10947,6628,763,22372,7470,5383,424,20121,6745,5024,-561,16527,2471,2602,18872,19897,22593,
营业外收入(万元),143,14,1,18,15,3,1,39,421,294,2,601,355,310,365,1128,1408,
营业外支出(万元),5,3,,69,7,5,5,0,0,0,,7,12,11,71,126,46,
非流动资产处置损失(万元),,,,,,5,,,,,,4,3,2,15,1,14,
利润总额(万元),11085,6639,763,22322,7478,5380,420,20160,7166,5318,-559,17120,2815,2901,19166,20898,23955,
所得税费用(万元),-138,-125,-57,-171,-250,53,105,737,-520,36,20,1188,-147,-41,1132,2182,2631,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,
净利润(万元),11223,6764,820,22493,7727,5327,315,19423,7685,5282,-579,15932,2962,2942,18034,18716,21324,
归属于母公司所有者的净利润(万元),11223,6764,820,22493,7727,5327,315,19423,7685,5282,-579,15882,2912,2892,18051,18705,21290,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,50,50,50,-17,11,34,
基本每股收益,0.15,0.09,0.01,0.3,0.1,0.07,0,0.29,0.11,0.08,-0.01,0.24,0.04,0.04,,,,
稀释每股收益,0.15,0.09,0.01,0.3,0.1,0.07,0,0.29,0.11,0.08,-0.01,0.24,0.04,0.04,,,,
