报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),219173,120740,46992,289506,185329,95881,42824,238739,237053,98044,177149,121981,92660,69264,
营业收入(万元),219173,120740,46992,289506,185329,95881,42824,238739,237053,98044,177149,121981,92660,69264,
利息收入(万元),,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,
营业总成本(万元),134936,86535,34794,157247,109029,65511,33918,128278,111949,55073,88236,70670,59017,46449,
营业成本(万元),19070,11122,4082,23798,14429,7558,3354,18787,20511,7718,16637,10950,8245,6741,
利息支出(万元),,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,
研发费用(万元),28476,18734,8913,23556,15747,9109,5853,14299,13705,,,,,,
退保金(万元),,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,
营业税金及附加(万元),1679,816,496,1626,1249,647,355,1345,1212,496,836,967,1413,1034,
销售费用(万元),65448,41300,14483,79640,55349,34071,17261,72000,59272,29318,47249,43652,34169,27692,
管理费用(万元),20572,14466,6627,27876,21457,13655,6812,21794,17080,17331,23024,14486,14810,10649,
财务费用(万元),-310,97,193,753,798,471,283,53,170,-27,-94,387,93,168,
资产减值损失(万元),,,,,,,,,,238,583,228,287,164,
公允价值变动收益(万元),-4990,640,517,2239,1347,933,291,,,,,,,,
投资收益(万元),3257,1984,1274,4616,3710,3038,2681,2331,1157,782,1087,901,1082,573,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,
营业利润(万元),84172,38084,15359,139791,81886,34430,12076,111409,126969,44119,90000,52212,34725,23388,
营业外收入(万元),34,24,3,66,6,3,2,4,39,0,791,412,864,785,
营业外支出(万元),104,105,103,109,1072,1027,36,60,215,180,110,49,68,27,
非流动资产处置损失(万元),,,,,,,,,,41,8,1,18,13,
利润总额(万元),84101,38003,15259,139747,80820,33405,12041,111352,126793,43940,90681,52575,35522,24146,
所得税费用(万元),15481,7238,2948,23019,14672,6634,2274,17956,18798,6794,13719,7836,5016,3673,
未确认投资损失(万元),,,,,,,,,,,,,,,
净利润(万元),68620,30765,12311,116728,66148,26771,9767,93397,107995,37145,76962,44739,30506,20472,
归属于母公司所有者的净利润(万元),68620,30765,12311,116728,66148,26771,9767,93397,107996,37146,76963,44742,30522,20473,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,
少数股东损益(万元),-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-1,-3,-16,-0,
基本每股收益,1.28,0.59,0.34,3.23,1.31,0.51,0.27,2.59,2.99,1.03,2.13,1.34,0.91,0.61,
稀释每股收益,1.28,0.59,0.34,3.23,1.31,0.51,0.27,2.59,2.99,1.03,2.13,1.34,0.91,0.61,
