报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),27083,16606,7620,35614,27345,16753,7160,33268,24258,15093,7013,29916,20689,13277,5763,27506,19425,12565,5204,27042,26706,23787,21285,
营业收入(万元),27083,16606,7620,35614,27345,16753,7160,33268,24258,15093,7013,29916,20689,13277,5763,27506,19425,12565,5204,27042,26706,23787,21285,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),23673,14479,6790,31655,23698,14729,6343,28387,20014,12541,5584,23420,16211,10380,4509,21776,15641,10149,4249,22642,22831,20311,17872,
营业成本(万元),14105,8632,3995,18581,14972,9034,3778,17312,12411,7624,3526,14748,10184,6565,2760,13811,9855,6519,2750,14470,15462,14258,13089,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),2455,1428,560,2430,1817,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),121,93,27,241,164,136,44,506,406,335,35,288,110,75,37,197,145,94,32,173,151,144,123,
销售费用(万元),3622,2273,1106,4929,3412,2180,902,4078,2704,1733,779,3280,2341,1442,654,3052,2136,1398,591,3178,2825,2468,1796,
管理费用(万元),3215,1979,1050,4922,2884,3088,1374,5996,4257,2691,1151,4606,3394,2189,1067,4083,2986,1836,771,3949,3587,2777,2381,
财务费用(万元),155,74,40,193,178,167,206,167,103,54,14,69,124,90,30,397,326,162,133,449,668,588,394,
资产减值损失(万元),,,11,359,271,124,39,328,133,104,79,428,59,20,-40,236,193,141,-28,424,138,76,88,
公允价值变动收益(万元),12,19,32,24,26,65,,,15,54,16,93,,,,,,,,,,,,
投资收益(万元),53,98,44,587,440,286,141,599,432,288,107,63,23,4,,27,20,,,,,,,
对联营企业和合营企业的投资收益(万元),-134,-34,2,-20,-4,-0,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),3450,2278,938,4842,4150,2398,969,5778,4788,2985,1552,6651,4500,2901,1254,5757,3804,2416,955,4400,3874,3476,3413,
营业外收入(万元),7,5,2,11,9,6,2,293,137,103,108,191,133,39,8,210,79,20,9,271,254,511,72,
营业外支出(万元),6,5,5,14,8,3,3,73,74,73,23,38,35,35,12,258,186,179,32,21,22,22,2,
非流动资产处置损失(万元),,,,,,,,,20,20,18,1,,1,7,218,179,179,32,0,2,2,,
利润总额(万元),3450,2278,935,4839,4150,2401,968,5998,4851,3015,1637,6805,4598,2905,1250,5709,3698,2257,932,4650,4107,3966,3483,
所得税费用(万元),546,332,114,715,615,355,161,824,657,416,233,1024,713,438,182,911,665,398,137,655,683,702,628,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),2904,1946,821,4124,3535,2046,807,5175,4194,2600,1404,5781,3885,2467,1068,4798,3033,1858,795,3995,3424,3263,2855,
归属于母公司所有者的净利润(万元),2909,1948,824,4141,3543,2050,807,5175,4195,2600,1404,5782,3888,2469,1070,4809,3042,1867,799,4017,3424,3263,2855,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),-4,-2,-3,-17,-8,-4,-0,-1,-1,-1,-0,-2,-3,-2,-1,-11,-9,-8,-4,-22,0,,,
基本每股收益,0.28,0.19,0.08,0.4,0.35,0.2,0.14,0.87,0.7,0.44,0.24,1.16,0.84,0.55,0.24,1.07,0.68,0.42,0.18,0.9,0.76,0.73,0.64,
稀释每股收益,0.28,0.19,0.08,0.4,0.35,0.2,0.14,0.87,0.7,0.44,0.24,1.16,0.84,,0.24,1.07,0.68,,0.18,0.9,0.76,0.73,0.64,
