报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),161388,89037,31490,203428,142718,84638,29454,127344,84281,48506,13650,92816,59995,37775,11513,85908,60464,37461,10517,90932,65040,38743,9410,105924,106455,81175,
营业收入(万元),161388,89037,31490,203428,142718,84638,29454,127344,84281,48506,13650,92816,59995,37775,11513,85908,60464,37461,10517,90932,65040,38743,9410,105924,106455,81175,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),147503,86747,34339,191105,132360,81901,31539,120826,76983,46756,16738,96065,60940,39064,14919,78666,55852,35261,11042,77347,53778,33930,12191,90040,85407,66645,
营业成本(万元),130298,75529,29521,167569,116282,70636,26924,97262,61525,36071,12558,68641,45058,28457,9956,60096,41582,26429,8964,57489,40783,25272,7870,68441,65527,48801,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),697,160,32,531,270,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),1153,702,301,1724,1248,823,306,3844,1438,907,206,1364,737,564,299,2234,1312,840,192,2022,1322,817,130,2090,1895,1406,
销售费用(万元),2365,1303,536,2795,1708,1005,532,2727,2038,1188,466,2575,1912,1213,579,2220,2026,1311,595,2528,1592,1049,536,2975,3311,3732,
管理费用(万元),10849,7590,3226,14180,9643,6694,2989,14573,9958,6938,3118,14984,10581,6886,3435,12263,9131,6030,2715,12516,9170,6012,3268,13778,13022,11264,
财务费用(万元),2141,1463,721,2194,1397,967,464,1665,1070,699,391,2461,2073,1364,658,1781,2425,1275,488,1433,889,758,388,1626,1033,1273,
资产减值损失(万元),,,,2111,1812,1776,324,755,953,953,-1,6040,579,579,-7,73,-625,-625,-1912,1359,22,22,-0,1130,621,169,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),66,15,20,469,193,49,-42,-66,55,-122,2,39,188,114,61,154,128,-31,,454,156,167,,893,1368,4160,
对联营企业和合营企业的投资收益(万元),84,15,20,410,193,49,-42,-66,55,-122,2,-272,-124,-98,,34,29,-69,,418,185,173,,371,1256,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),14557,2099,-2213,15402,12470,4117,-1507,8663,8723,2539,-3086,-3209,-757,-1174,-3345,7395,4739,2169,-525,14039,11418,4979,-2781,16777,22415,18689,
营业外收入(万元),93,44,18,178,54,38,10,257,276,192,517,4364,4131,3993,2997,10267,11190,8218,59,2540,304,207,20,2011,1603,523,
营业外支出(万元),319,59,32,787,631,183,26,656,353,232,43,1580,229,160,47,786,187,74,9,318,58,77,2,969,1417,416,
非流动资产处置损失(万元),,,,,,28,,,35,33,1,136,4,3,0,316,5,3,,86,49,49,,630,452,,
利润总额(万元),14331,2084,-2227,14793,11893,3973,-1523,8264,8645,2499,-2612,-425,3145,2658,-395,16876,15742,10313,-475,16261,11665,5110,-2762,17819,22602,18796,
所得税费用(万元),3487,927,372,4859,3564,1876,349,1965,2280,1067,193,306,1259,644,136,3881,3522,2456,340,3284,1948,1123,12,4045,4454,3607,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),10843,1157,-2599,9934,8329,2096,-1872,6300,6366,1432,-2804,-731,1885,2014,-531,12996,12220,7857,-815,12977,9717,3987,-2774,13774,18148,15189,
归属于母公司所有者的净利润(万元),8892,1687,-1990,5178,4295,302,-1846,1846,2905,-231,-2512,-2487,133,1037,-406,10044,9872,7036,-660,8677,6616,2520,-2424,9569,14018,12451,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),1952,-530,-609,4756,4035,1794,-26,4454,3461,1663,-292,1756,1753,977,-125,2952,2348,821,-155,4300,3101,1467,-350,4204,4130,2739,
基本每股收益,0.14,0.03,-0.03,0.08,0.07,0.01,-0.03,0.03,0.04,-0,-0.04,-0.05,0,0.03,-0.01,0.34,0.34,0.26,-0.03,0.35,0.27,0.1,-0.1,0.39,0.57,0.53,
稀释每股收益,0.14,0.03,-0.03,0.08,0.07,0.01,-0.03,0.03,0.04,-0,-0.04,-0.05,0,0.03,-0.01,0.34,0.34,0.26,,0.35,0.27,0.1,,0.39,0.57,0.53,
