报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),75990,48164,20644,90950,61304,36137,15501,70890,49695,32286,14733,61188,44113,27510,13503,40845,24127,14848,
营业收入(万元),75990,48164,20644,90950,61304,36137,15501,70890,49695,32286,14733,61188,44113,27510,13503,40845,24127,14848,
利息收入(万元),,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,
营业总成本(万元),71408,47121,20937,79698,54633,34045,14766,60337,42837,28240,13053,52587,37948,24173,12019,35972,21005,13041,
营业成本(万元),56586,36354,15992,61597,42112,25763,11267,47675,34113,22620,10597,41984,30630,19565,9821,28320,16736,9966,
利息支出(万元),,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,
研发费用(万元),6224,4421,2043,7136,4823,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),505,311,113,589,325,226,86,440,284,193,117,430,334,207,87,211,140,83,
销售费用(万元),2815,1933,917,3621,2725,1804,670,2547,1643,974,400,1662,1247,734,376,1016,850,729,
管理费用(万元),5393,4194,1904,6322,4779,6272,2707,9167,6741,4474,2049,8091,5831,3573,1649,5670,2962,1988,
财务费用(万元),-115,-91,-77,-576,-548,-277,-93,-205,82,102,60,28,21,21,19,181,60,31,
资产减值损失(万元),,,46,1010,417,257,129,713,-27,-123,-169,391,-116,74,67,574,258,243,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,
投资收益(万元),749,559,163,800,481,351,186,210,218,140,35,121,48,32,17,17,18,16,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,
营业利润(万元),5545,1439,25,12526,7427,2634,1050,11135,7128,4235,1715,8723,6213,3370,1501,4890,3141,1822,
营业外收入(万元),71,15,4,538,511,153,19,218,223,157,31,502,218,144,135,266,114,312,
营业外支出(万元),8,6,1,31,10,1,1,44,16,16,16,6,0,0,0,15,26,2,
非流动资产处置损失(万元),,,,,,,,,,,,5,,,,,1,1,
利润总额(万元),5608,1447,28,13033,7928,2786,1067,11310,7335,4376,1729,9218,6430,3513,1636,5142,3229,2132,
所得税费用(万元),101,-17,-7,1081,732,193,93,1209,708,618,212,1018,786,598,252,832,633,340,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,
净利润(万元),5507,1464,35,11952,7196,2592,974,10101,6627,3759,1517,8200,5644,2915,1384,4310,2596,1792,
归属于母公司所有者的净利润(万元),5179,1207,-32,11355,6849,2540,974,10101,6627,3759,1517,8200,5644,2915,1384,4310,2596,1792,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,
少数股东损益(万元),328,257,67,597,347,52,,,,,,,,,,,,,
基本每股收益,0.24,0.06,-0,0.79,0.48,0.18,0.12,1.52,1.1,0.63,0.25,1.37,0.94,0.49,,0.72,,,
稀释每股收益,0.24,0.06,-0,0.79,0.48,0.18,0.12,1.52,1.1,0.63,0.25,1.37,0.94,0.49,,0.72,,,
