报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),92812,66017,120232,93273,106813,51846,100102,106016,127570,
营业收入(万元),92812,66017,120232,93273,106813,51846,100102,106016,127570,
利息收入(万元),,,,,,,,,,
已赚保费(万元),,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,
其他业务收入(万元),,,,,,,,,,
营业总成本(万元),82042,59031,108109,83322,93881,46384,87086,94103,110746,
营业成本(万元),72458,51993,95123,74165,82079,40916,73841,84951,101433,
利息支出(万元),,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,
研发费用(万元),3469,2590,4482,3582,4086,,,,,
退保金(万元),,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,
保单红利支出(万元),,,,,,,,,,
分保费用(万元),,,,,,,,,,
其他业务成本(万元),,,,,,,,,,
营业税金及附加(万元),525,390,727,596,802,399,582,315,461,
销售费用(万元),2795,2084,3987,2960,3688,1781,3199,3495,3378,
管理费用(万元),2844,1979,3648,2019,2947,2818,8692,5443,5412,
财务费用(万元),-49,-5,-6,-1,49,48,-177,-286,-89,
资产减值损失(万元),,,149,,228,422,949,185,151,
公允价值变动收益(万元),,,,,,,,,,
投资收益(万元),,,,,,,,948,-555,
对联营企业和合营企业的投资收益(万元),,,,,,,,144,-555,
汇兑收益(万元),,,,,,,,,,
期货损益(万元),,,,,,,,,,
托管收益(万元),,,,,,,,,,
补贴收入(万元),,,,,,,,,,
其他业务利润(万元),,,,,,,,,,
营业利润(万元),10135,6624,12353,9887,13069,5562,13016,12860,16269,
营业外收入(万元),137,91,361,307,280,166,308,236,128,
营业外支出(万元),39,38,172,136,159,116,96,131,45,
非流动资产处置损失(万元),,,,,,104,58,86,38,
利润总额(万元),10233,6677,12542,10057,13191,5611,13229,12965,16353,
所得税费用(万元),1420,893,1971,1475,2173,847,1455,1654,2558,
未确认投资损失(万元),,,,,,,,,,
净利润(万元),8813,5785,10571,8582,11018,4765,11774,11312,13794,
归属于母公司所有者的净利润(万元),8786,5774,10432,8490,10948,4728,11635,6692,7292,
被合并方在合并前实现净利润(万元),,,,,,,,,,
少数股东损益(万元),27,10,139,92,70,37,138,4619,6502,
基本每股收益,0.23,0.15,0.28,0.23,0.29,0.13,0.36,,,
稀释每股收益,0.23,0.15,0.28,0.23,0.29,0.13,0.36,,,
