报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),143482,82877,192930,145648,70735,183228,48255,148818,148976,139177,
营业收入(万元),143482,82877,192930,145648,70735,183228,48255,148818,148976,139177,
利息收入(万元),,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,
营业总成本(万元),115064,72143,157333,113593,63673,149322,46440,116843,111085,94802,
营业成本(万元),81970,49413,111633,83532,42809,107525,29440,85131,84677,70653,
利息支出(万元),,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,
研发费用(万元),16965,11410,22785,16624,11211,,,,,,
退保金(万元),,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,
分保费用(万元),,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,
营业税金及附加(万元),1183,1009,1953,1283,1083,950,621,999,685,622,
销售费用(万元),7489,4729,10521,7514,4441,9273,3296,8269,7170,6415,
管理费用(万元),7977,5241,9023,6377,4075,24364,11426,26842,20088,16135,
财务费用(万元),-521,339,-1441,-1737,54,3641,1139,-4013,-3407,314,
资产减值损失(万元),,,2860,,,3569,518,-384,1872,663,
公允价值变动收益(万元),-756,28,,,-337,,,,,,
投资收益(万元),373,206,374,111,347,806,436,73,-21,544,
对联营企业和合营企业的投资收益(万元),,,,,,-179,-110,-249,-246,24,
汇兑收益(万元),,,,,,,,,,,
期货损益(万元),,,,,,,,,,,
托管收益(万元),,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,
营业利润(万元),29057,12197,38645,31971,8157,35596,2441,32048,37870,44920,
营业外收入(万元),16,3,49,46,40,61,58,994,720,409,
营业外支出(万元),10,4,9,9,4,48,21,167,84,11,
非流动资产处置损失(万元),,,,,,,4,111,84,6,
利润总额(万元),29063,12196,38685,32009,8193,35609,2479,32875,38506,45318,
所得税费用(万元),4092,1675,4162,3190,545,4664,-70,5099,6647,6561,
未确认投资损失(万元),,,,,,,,,,,
净利润(万元),24971,10520,34523,28819,7648,30945,2549,27776,31859,38757,
归属于母公司所有者的净利润(万元),21125,8473,29617,24317,6603,23753,2307,21266,24871,31970,
被合并方在合并前实现净利润(万元),,,,,,,,,,,
少数股东损益(万元),3846,2047,4906,4502,1045,7192,241,6509,6988,6787,
基本每股收益,0.56,0.23,0.8,0.66,0.18,0.64,0.06,1.76,2.13,2.74,
稀释每股收益,0.56,0.23,0.8,0.66,0.18,0.64,0.06,1.76,2.13,2.74,
