报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),92741,61175,133754,102427,106901,74760,33599,70073,65049,83704,
营业收入(万元),92741,61175,133754,102427,106901,74760,33599,70073,65049,83704,
利息收入(万元),,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,
营业总成本(万元),82883,55429,119121,91011,98496,68861,30793,65446,63818,80326,
营业成本(万元),66875,46135,100332,77279,82244,58619,25808,56916,53774,69950,
利息支出(万元),,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,
研发费用(万元),2292,1313,1991,1276,1621,992,,,,,
退保金(万元),,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,
分保费用(万元),,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,
营业税金及附加(万元),558,451,1159,758,982,549,146,337,244,304,
销售费用(万元),9913,4908,10453,8354,6254,3596,1636,3021,2457,2247,
管理费用(万元),3965,2407,5406,4101,5043,4340,2396,4437,4596,4208,
财务费用(万元),-719,215,-586,-758,2429,-275,137,164,1125,2725,
资产减值损失(万元),,,367,,-77,1041,670,573,1622,893,
公允价值变动收益(万元),,,,,,,,,,,
投资收益(万元),,,,,23,14,3,1,78,34,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,
期货损益(万元),,,,,,,,,,,
托管收益(万元),,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,
营业利润(万元),10221,5561,16584,12627,9731,5913,2810,4627,1309,3412,
营业外收入(万元),9,9,99,94,169,1052,474,1384,903,1493,
营业外支出(万元),26,7,11,21,62,31,25,18,38,3,
非流动资产处置损失(万元),,,,,,,8,1,8,,
利润总额(万元),10204,5562,16672,12700,9839,6934,3258,5993,2174,4902,
所得税费用(万元),1643,666,2738,2129,1146,1010,438,1036,417,911,
未确认投资损失(万元),,,,,,,,,,,
净利润(万元),8561,4896,13933,10571,8693,5924,2820,4957,1757,3991,
归属于母公司所有者的净利润(万元),8561,4896,13933,10571,8693,5923,2820,4957,1757,3991,
被合并方在合并前实现净利润(万元),,,,,,,,,,,
少数股东损益(万元),,,,,,1,,,,,
基本每股收益,0.78,0.45,1.27,0.96,0.79,0.54,0.26,0.45,0.16,0.39,
稀释每股收益,0.78,0.45,1.27,0.96,0.79,0.54,0.26,0.45,0.16,0.39,
