报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),138695,78537,27813,170168,112992,64294,26196,144197,96719,55850,20758,109889,71021,46546,14539,78351,68621,56149,40052,
营业收入(万元),138695,78537,27813,170168,112992,64294,26196,144197,96719,55850,20758,109889,71021,46546,14539,78351,68621,56149,40052,
利息收入(万元),,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,
营业总成本(万元),128172,74150,27796,152017,104285,60077,24857,129245,89033,52045,19664,100325,67141,44525,13920,74174,64532,53418,37991,
营业成本(万元),90050,50570,18179,103810,69124,38771,15826,87765,60322,35322,13560,68011,44571,29823,9165,46074,40546,30592,20933,
利息支出(万元),,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,
研发费用(万元),7460,4148,1944,7956,5435,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),914,671,189,1525,954,571,183,1368,813,495,138,1074,436,298,107,880,665,471,376,
销售费用(万元),23833,14889,5700,31358,23109,14316,5880,27112,19394,11112,3648,20109,14895,10062,2703,17774,15864,16083,11969,
管理费用(万元),6110,4005,1700,7424,5805,6625,2936,12913,8353,5044,2290,10894,7105,4183,1886,8431,7143,5924,4101,
财务费用(万元),-195,-134,-53,-302,-401,-299,-93,-218,-25,-24,-24,174,68,73,45,499,287,270,525,
资产减值损失(万元),,,137,245,260,92,125,305,176,97,52,62,66,87,15,517,26,77,87,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,
投资收益(万元),933,680,421,2011,1149,955,412,591,324,48,32,64,37,20,19,23,38,10,7,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,0,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,
营业利润(万元),14696,7912,2100,23791,13045,7144,2132,18395,9786,5315,1127,9627,3917,2041,638,4200,4127,2741,2067,
营业外收入(万元),160,99,44,225,90,57,36,244,401,114,209,1804,1157,955,55,1305,780,885,850,
营业外支出(万元),38,19,10,150,76,30,22,131,109,53,18,86,92,50,1,79,55,16,18,
非流动资产处置损失(万元),,,,,,,,,22,15,1,7,5,5,,8,1,0,1,
利润总额(万元),14818,7993,2134,23867,13059,7171,2146,18508,10078,5376,1318,11345,4983,2946,692,5426,4852,3610,2900,
所得税费用(万元),1646,1028,233,2855,1143,1042,287,1834,1019,751,310,1723,967,722,222,699,923,602,680,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,
净利润(万元),13172,6965,1901,21012,11916,6130,1859,16674,9059,4625,1008,9622,4017,2224,470,4726,3929,3008,2220,
归属于母公司所有者的净利润(万元),13200,6980,1908,21019,11916,6130,1859,16675,9059,4625,1008,9623,4017,2225,470,4734,4003,3076,2298,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),-28,-15,-8,-7,,,,-0,-0,-0,-0,-0,-0,-0,-0,-8,-74,-68,-78,
基本每股收益,1.99,1.05,0.29,3.14,1.78,0.91,0.28,2.78,1.57,0.88,0.2,1.92,0.8,0.44,0.09,0.95,0.8,0.59,0.44,
稀释每股收益,1.99,1.05,0.29,3.14,1.78,0.91,0.28,2.78,1.57,0.88,0.2,1.92,0.8,0.44,0.09,0.95,0.8,0.59,0.44,
