报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
营业总收入(万元),50079,34249,15495,88549,70993,42394,14409,71678,47242,29717,10570,60152,36471,22717,7284,39025,22376,12965,4933,26974,,10541,3234,22034,13713,18387,15358,
营业收入(万元),50079,34249,15495,88549,70993,42394,14409,71678,47242,29717,10570,60152,36471,22717,7284,39025,22376,12965,4933,26974,,10541,3234,22034,13713,18387,15358,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),67441,47051,23267,287353,75023,44759,17759,67533,41446,26246,11971,57761,35627,21536,8743,37473,21639,12687,6576,23589,,10175,4509,18335,,13943,11718,
营业成本(万元),26243,19233,8165,53339,35297,21665,9129,35997,20574,12575,5466,31086,17432,10754,4167,20612,11543,6201,3112,14474,,6142,2737,11068,,8310,6734,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),5050,3748,1732,8803,6314,,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),143,98,62,837,601,345,111,535,337,233,165,402,194,123,49,152,105,59,30,252,,181,75,368,,507,705,
销售费用(万元),27669,18094,9392,31257,20483,11122,3274,10508,6872,3938,2302,6273,3596,2120,1001,4256,2634,1849,1150,2828,,1165,437,1993,,1304,1062,
管理费用(万元),8870,6179,3628,12935,12327,11681,5206,22294,15551,10593,4503,19963,13772,8098,3246,12054,7156,4444,2264,5792,,2687,1265,4787,,3739,3252,
财务费用(万元),-534,-300,27,-1193,-839,-714,-193,-2278,-1914,-1211,-481,-311,563,423,299,42,39,60,54,39,,-26,-6,-87,,-93,-134,
资产减值损失(万元),,,,181377,838,659,233,476,25,117,17,349,70,18,-18,357,162,73,-34,205,,27,,207,,177,99,
公允价值变动收益(万元),556,-183,,26050,,,,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),-1079,-805,-236,19438,8138,8138,252,2155,-965,-786,532,-539,-518,-11,,582,-118,-136,-35,608,,166,-52,360,,491,-40,
对联营企业和合营企业的投资收益(万元),-1615,-805,,243,-2856,-3379,,1036,-1055,-786,532,-539,-518,-11,,582,-118,,,608,,166,,360,,491,-40,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),-18602,-14588,-7821,-152231,4902,6189,-3070,9325,5587,2685,-870,1852,325,1170,-1459,2134,619,142,-1677,3992,,532,-1326,4059,294,4934,3600,
营业外收入(万元),306,32,4,932,1,4,,15,7,225,27,3616,1771,151,68,1462,900,890,193,1399,,541,88,1130,,1401,1556,
营业外支出(万元),181,142,70,195,173,67,3,59,58,14,0,130,80,74,,55,15,10,,22,,16,16,34,,63,5,
非流动资产处置损失(万元),,,,,,,,,,,,,,,,1,,,,,,,,,,20,,
利润总额(万元),-18476,-14697,-7888,-151494,4730,6126,-3073,9282,5535,2896,-844,5338,2016,1248,-1391,3541,1504,1021,-1484,5369,,1057,-1254,5155,1233,6272,5151,
所得税费用(万元),181,74,45,-1001,551,935,148,1173,1925,921,81,1663,1061,503,51,604,533,337,31,759,,286,2,643,,812,239,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),-18658,-14771,-7932,-150493,4179,5191,-3221,8109,3610,1976,-924,3674,955,745,-1442,2937,971,685,-1516,4610,,770,-1256,4512,1044,5460,4913,
归属于母公司所有者的净利润(万元),-19240,-15136,-8070,-150846,3857,5216,-3093,7753,3718,2166,-874,3504,1212,783,-1433,3125,1096,696,-1507,4617,1037,774,-1250,4487,1025,5440,4915,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),583,364,138,353,321,-24,-128,357,-107,-190,-51,170,-258,-38,-9,-189,-125,-12,-8,-7,,-3,-7,25,,20,-2,
基本每股收益,-0.25,-0.2,-0.1,-1.99,0.05,0.07,-0.04,0.11,0.05,0.08,-0.03,0.14,0.05,0.03,-0.12,0.27,0.09,0.06,-0.13,0.51,,0.09,-0.14,0.5,,0.6,0.55,
稀释每股收益,-0.25,-0.2,-0.1,-1.99,0.05,0.07,-0.04,0.11,0.05,0.08,-0.03,0.14,0.05,0.03,-0.12,0.27,0.09,0.06,-0.13,0.51,,0.09,-0.14,0.5,,0.6,0.55,
