报告日期,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),48242,31892,62462,29559,57520,40600,30352,
营业收入(万元),48242,31892,62462,29559,57520,40600,30352,
利息收入(万元),,,,,,,,
已赚保费(万元),,,,,,,,
手续费及佣金收入(万元),,,,,,,,
房地产销售收入(万元),,,,,,,,
其他业务收入(万元),,,,,,,,
营业总成本(万元),40870,27324,53244,25737,51881,35364,27664,
营业成本(万元),26343,17607,35284,17175,35139,24009,18174,
利息支出(万元),,,,,,,,
手续费及佣金支出(万元),,,,,,,,
房地产销售成本(万元),,,,,,,,
研发费用(万元),1305,796,1759,849,1698,1188,822,
退保金(万元),,,,,,,,
赔付支出净额(万元),,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,
保单红利支出(万元),,,,,,,,
分保费用(万元),,,,,,,,
其他业务成本(万元),,,,,,,,
营业税金及附加(万元),304,199,432,208,346,284,242,
销售费用(万元),6004,4142,7846,3862,7159,4981,3946,
管理费用(万元),4218,2932,5382,2370,4695,3495,3077,
财务费用(万元),2697,1649,2541,1144,2706,1349,1517,
资产减值损失(万元),,,,129,140,58,-113,
公允价值变动收益(万元),,,,,,,,
投资收益(万元),5,5,26,26,64,8,32,
对联营企业和合营企业的投资收益(万元),,,,,,,,
汇兑收益(万元),,,,,,,,
期货损益(万元),,,,,,,,
托管收益(万元),,,,,,,,
补贴收入(万元),,,,,,,,
其他业务利润(万元),,,,,,,,
营业利润(万元),7641,4713,9350,3930,5833,5218,2717,
营业外收入(万元),210,190,39,20,5,207,44,
营业外支出(万元),248,231,237,156,298,143,93,
非流动资产处置损失(万元),,,,,,,,
利润总额(万元),7603,4672,9152,3793,5540,5281,2668,
所得税费用(万元),1197,712,1616,667,1044,1182,665,
未确认投资损失(万元),,,,,,,,
净利润(万元),6406,3960,7536,3126,4496,4100,2003,
归属于母公司所有者的净利润(万元),6406,3960,7536,3126,4496,4100,2003,
被合并方在合并前实现净利润(万元),,,,,,,,
少数股东损益(万元),,,,,,,,
基本每股收益,0.53,0.33,0.63,0.26,0.37,0.37,0.2,
稀释每股收益,0.53,0.33,0.63,0.26,0.37,0.37,0.2,
