报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2012-06-30,
营业总收入(万元),3788130,2515059,1301544,4388782,3162971,1974982,915551,3312500,2442660,1539367,818512,3440881,2641922,1796827,928838,3315913,2441943,1565750,2809756,2146749,1728997,843989,
营业收入(万元),,,,,,,,,,,,,,,,,,,,,,,
利息收入(万元),5788309,3774861,1849387,7587706,5537667,3579443,1726121,6008229,4400088,2900104,1497426,6065193,4571427,3102394,1578611,6144611,4534999,2967919,5589050,4342536,3468544,1549922,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),551990,375369,198418,674450,494102,339421,178386,678556,492354,336374,176109,648431,488699,346187,186622,578355,421420,292385,412868,249227,151364,81160,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),9470,7070,4085,9543,8475,5481,1996,11109,7418,4442,1915,9580,7307,4406,2443,8237,6081,3936,6075,4765,8066,2780,
营业总成本(万元),1958444,1314583,739845,2480350,1638130,981994,454488,1713927,1249367,734257,405757,1819561,1400990,919029,491431,1724092,1223255,750645,1402896,990896,817400,384324,
营业成本(万元),,,,,,,,,,,,,,,,,,,,,,,
利息支出(万元),3586201,2345493,1167324,4594023,3461849,2302992,1132847,4096498,2996835,1979575,974010,3465382,2566650,1714403,857949,3476419,2614806,1745022,3241622,2436675,1902441,804480,
手续费及佣金支出(万元),56226,34943,15919,76496,45197,27344,13430,52977,30661,17409,7948,32747,38006,12562,6910,27512,17035,10130,18144,17382,15296,5663,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),98,63,30,1848,1818,558,519,1892,893,856,401,2870,1566,942,420,1754,1225,821,1543,1825,1687,-1520,
营业税金及附加(万元),34754,22573,10128,44673,31168,19315,9226,34368,25607,17542,8916,71465,69127,63605,43145,176643,131556,88101,168504,146290,133536,69013,
销售费用(万元),705725,461337,205049,900639,641250,400208,181391,810536,576433,371540,168504,787591,557096,363858,168081,762251,556419,361501,703992,629228,575805,271668,
管理费用(万元),,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,,,,,,,,,,,,,,,,,,,,,,
资产减值损失(万元),,,,1533190,963895,561913,263352,867132,646435,344319,227936,957634,773202,490623,279786,783444,534056,300223,528857,213553,106372,45163,
公允价值变动收益(万元),194591,155906,186915,465248,576842,539935,-115496,-556991,-361727,-375030,-203010,211908,77514,97074,-899,-35243,1100,-21476,38114,-17445,-6818,-1662,
投资收益(万元),857899,592700,273283,790613,668201,448572,227585,963652,706537,405017,189192,164850,134093,45140,-12511,143952,119620,83822,5136,15745,11867,13352,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,,,,,
汇兑收益(万元),23380,-13339,-27649,-471872,-618658,-607957,42998,353519,225487,265443,138838,-160952,-32460,-71410,39431,-20068,-9436,-5684,18279,5977,13711,8579,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,
