报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),940597,154950,72317,396351,311343,189543,82028,240592,161823,91453,39824,216077,161337,104471,46237,198327,140767,114146,100564,
营业收入(万元),940597,154950,72317,396351,311343,189543,82028,240592,161823,91453,39824,216077,161337,104471,46237,198327,140767,114146,100564,
利息收入(万元),,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,
营业总成本(万元),875648,162870,69868,384946,283240,171885,75647,228179,153242,87487,37592,203130,151254,97480,43021,187129,130591,100324,90330,
营业成本(万元),690449,127875,56328,303562,228599,136218,59150,191185,130920,73940,32167,172609,128795,83346,36617,160129,113950,85906,81675,
利息支出(万元),,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,
研发费用(万元),93341,7306,2610,12734,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),1071,168,102,1210,957,571,147,503,188,117,54,329,242,217,59,317,192,119,64,
销售费用(万元),27821,4363,2290,8642,6251,4360,1868,7372,5274,3500,1550,6247,4926,3433,1241,6102,4205,3220,2219,
管理费用(万元),46416,16658,9698,44500,39157,24909,12129,21961,13136,8349,3966,18662,13071,7795,3938,16365,9926,7796,4692,
财务费用(万元),16551,6500,105,5287,2769,2152,1419,4827,3043,1829,957,3390,2646,1724,998,2708,2144,1936,996,
资产减值损失(万元),,,-1266,9010,5507,3675,934,2331,680,-247,-1102,1893,1573,965,166,1508,174,1348,684,
公允价值变动收益(万元),207,191,160,-67,,,,,,,,,,,,,,,,
投资收益(万元),-10,4612,1802,279,5,,,,,,,,,,,3,,,,
对联营企业和合营企业的投资收益(万元),,,,14,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,
营业利润(万元),43722,-707,4547,12082,28521,18070,6611,13213,8778,4032,2233,12947,10084,6991,3216,11201,10176,13822,10235,
营业外收入(万元),462,172,18,337,301,121,29,1424,1589,1544,1398,1433,1154,428,74,1314,1577,364,296,
营业外支出(万元),390,36,33,141,67,64,8,98,31,0,0,190,231,205,102,68,111,154,438,
非流动资产处置损失(万元),,,,,,,,,,,,2,,0,,0,0,9,5,
利润总额(万元),43794,-571,4532,12278,28754,18126,6633,14539,10337,5576,3631,14190,11007,7213,3187,12447,11642,14032,10093,
所得税费用(万元),5918,-1951,75,710,5694,3679,2773,2198,1313,324,344,1046,974,682,442,1665,1845,1300,1463,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,
净利润(万元),37876,1380,4457,11568,23060,14447,3859,12340,9024,5252,3287,13144,10032,6532,2746,10783,9797,12732,8630,
归属于母公司所有者的净利润(万元),13513,2528,5107,13880,24593,15579,4288,13716,10036,5881,3597,14169,10648,6907,2837,11537,9797,12732,8630,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,5798,3835,
少数股东损益(万元),24363,-1148,-650,-2312,-1532,-1132,-429,-1375,-1012,-629,-309,-1025,-616,-375,-91,-754,,,,
基本每股收益,0.17,0.06,0.11,0.32,0.54,0.34,0.09,0.34,0.24,0.14,0.1,0.38,0.28,0.17,0.08,0.31,0.28,1.9,1.96,
稀释每股收益,0.16,0.06,0.11,0.33,0.54,0.34,0.09,0.34,0.25,0.15,,0.38,0.28,0.17,,0.31,0.28,1.9,1.96,
