报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),25707,13153,7571,33230,20291,7785,5135,30714,17938,8437,4221,25153,21096,13015,6036,37859,29460,18341,5828,54375,55751,48849,44023,
营业收入(万元),25707,13153,7571,33230,20291,7785,5135,30714,17938,8437,4221,25153,21096,13015,6036,37859,29460,18341,5828,54375,55751,48849,44023,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),26239,14328,8243,33032,21619,9143,5445,30648,19487,9868,4351,25048,19626,12393,5719,33430,26963,17216,5432,49123,50987,43913,38133,
营业成本(万元),15724,8120,5105,20933,13408,5056,3409,18660,11984,5596,2853,15757,13266,8426,4257,23283,18169,11436,3965,36412,36472,30790,26870,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),2307,1259,505,1954,1434,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),489,341,258,543,379,250,101,605,409,302,123,534,181,143,85,409,380,320,65,209,360,332,276,
销售费用(万元),3155,1670,798,3374,2152,1025,486,2644,1776,950,333,2506,1839,1151,578,2601,2105,1279,460,3344,4877,4568,3452,
管理费用(万元),4540,2922,1356,5194,3449,2738,1239,6137,4114,2439,973,6348,4515,3024,1323,6665,5049,3341,1343,7838,7979,7002,6520,
财务费用(万元),24,16,10,-122,-89,-85,-23,-224,-173,-71,-21,38,54,64,37,255,197,130,51,472,608,636,524,
资产减值损失(万元),,,,1156,885,159,233,2826,1377,652,91,-135,-229,-414,-561,217,1063,710,-453,848,691,586,490,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),,,,246,246,182,114,118,118,118,83,2292,2,,,,,,,38,0,5,88,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,,,,,14,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),-672,-1367,-618,2522,-814,-934,21,204,-1430,-1313,-48,2396,1473,622,317,4429,2497,1124,397,5290,4765,4940,5979,
营业外收入(万元),241,160,79,318,273,164,90,1137,1080,953,253,992,654,425,24,449,342,317,0,704,1194,1151,262,
营业外支出(万元),10,11,10,10,8,8,0,8,32,17,17,8,5,5,3,31,6,2,2,41,13,53,38,
非流动资产处置损失(万元),,,,,,,,,18,17,17,4,3,3,3,6,2,2,2,21,3,1,34,
利润总额(万元),-441,-1219,-549,2829,-550,-778,111,1333,-382,-377,189,3381,2122,1043,339,4847,2833,1439,395,5953,5947,6039,6203,
所得税费用(万元),-214,-195,1,347,-86,-81,19,207,-119,-94,28,570,350,191,102,854,505,265,126,1034,871,1080,1051,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),-228,-1023,-549,2482,-464,-697,92,1126,-263,-283,160,2811,1772,851,237,3992,2328,1174,269,4920,5076,4959,5152,
归属于母公司所有者的净利润(万元),-153,-937,-423,1510,-490,-682,89,1103,-282,-293,156,2814,1778,857,239,3992,2325,1181,269,4803,4904,4814,5188,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),-75,-87,-127,972,27,-15,3,23,19,10,4,-3,-6,-5,-2,-0,3,-7,-0,117,172,145,-36,
基本每股收益,-0.02,-0.1,-0.05,0.16,-0.05,-0.07,0.01,0.12,-0.03,-0.03,0.02,0.33,0.21,0.11,0.03,0.57,0.33,0.17,0.04,0.69,0.7,0.69,0.74,
稀释每股收益,-0.02,-0.1,-0.05,0.16,-0.05,-0.07,0.01,0.12,-0.03,-0.03,0.02,0.33,0.21,0.11,0.03,0.57,0.33,0.17,0.04,0.69,0.7,0.69,0.74,
