报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
营业总收入(万元),88352,56849,115733,72771,50723,102064,49128,47524,
营业收入(万元),88352,56849,115733,72771,50723,102064,49128,47524,
利息收入(万元),,,,,,,,,
已赚保费(万元),,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,
房地产销售收入(万元),,,,,,,,,
其他业务收入(万元),,,,,,,,,
营业总成本(万元),68787,45484,91389,58926,40648,81351,41058,40455,
营业成本(万元),61670,40739,83747,54415,37432,75456,37355,37777,
利息支出(万元),,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,
房地产销售成本(万元),,,,,,,,,
研发费用(万元),3220,2372,4555,2525,1717,3757,1665,2079,
退保金(万元),,,,,,,,,
赔付支出净额(万元),,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,
保单红利支出(万元),,,,,,,,,
分保费用(万元),,,,,,,,,
其他业务成本(万元),,,,,,,,,
营业税金及附加(万元),398,288,261,226,113,136,73,13,
销售费用(万元),1046,628,654,374,298,552,514,187,
管理费用(万元),1905,1045,2002,1356,1080,1419,1164,482,
财务费用(万元),547,413,170,30,8,-102,217,70,
资产减值损失(万元),,,,,,133,69,-154,
公允价值变动收益(万元),,,,,,,,,
投资收益(万元),,,,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,
汇兑收益(万元),,,,,,,,,
期货损益(万元),,,,,,,,,
托管收益(万元),,,,,,,,,
补贴收入(万元),,,,,,,,,
其他业务利润(万元),,,,,,,,,
营业利润(万元),18941,11188,24595,13973,10079,20835,8115,7069,
营业外收入(万元),644,244,283,41,41,71,154,47,
营业外支出(万元),1158,2153,89,79,79,12,119,36,
非流动资产处置损失(万元),,,,,,,,,
利润总额(万元),18428,9280,24789,13935,10041,20894,8150,7080,
所得税费用(万元),2686,1394,3271,2093,1508,2776,1204,1170,
未确认投资损失(万元),,,,,,,,,
净利润(万元),15742,7886,21517,11842,8533,18117,6946,5910,
归属于母公司所有者的净利润(万元),15742,7886,21517,11842,8533,18117,6946,5910,
被合并方在合并前实现净利润(万元),,,,,,,,,
少数股东损益(万元),,,,,,,,,
基本每股收益,0.38,0.19,0.52,0.29,0.21,0.44,0.17,0.15,
稀释每股收益,0.38,0.19,0.52,0.29,0.21,0.44,0.17,0.15,
