报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2015-03-31,2014-12-31,2014-06-30,2014-03-31,2013-12-31,2013-06-30,2012-12-31,2012-06-30,
营业总收入(万元),969699,590556,310766,1090717,781110,526281,274916,1642140,826476,512471,260490,1325877,981257,648832,1902145,884034,285483,850922,274774,59900,564967,226116,443031,191610,
营业收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,
利息收入(万元),462133,303680,143475,676419,71506,297135,28429,525718,108250,242103,42357,444082,123906,81494,235672,113097,20599,98569,32401,16100,162145,23624,104715,37066,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,163345,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),1407,1030,334,2509,1570,3572,1321,-3098,1951,1389,888,3108,2275,1097,2790,1178,605,3109,1483,,2318,939,4157,2571,
营业总成本(万元),463875,284878,112178,686667,489253,303035,144707,1107215,421738,263479,127058,627183,428271,279898,758629,336325,133564,408335,167447,,326437,136278,263952,128605,
营业成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,
利息支出(万元),344250,222406,105363,477085,,248555,,393196,,165064,,284880,,,,,,,,,107747,,34749,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),356,309,49,688,293,95,48,170117,155,104,52,229,174,116,691,355,179,720,361,,719,359,767,404,
营业税金及附加(万元),7067,4335,1918,7993,6007,4267,2127,8717,6398,3965,1863,34735,32013,29871,114445,53668,18718,52692,18524,,36065,14183,26309,9176,
销售费用(万元),457197,290224,152591,562595,407016,273043,136111,410324,412578,256633,125379,592386,399828,251289,628005,280576,114667,370804,147690,,272069,121735,230624,119025,
管理费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,
资产减值损失(万元),,,,,,,6421,7634,2607,2776,-237,-167,-3745,-1379,15488,1726,,-15881,873,,17584,,6253,,
公允价值变动收益(万元),101377,40025,44204,98885,77195,41665,32162,,-5575,-6771,-5038,-44976,1871,-12283,390,570,13176,29470,4310,-4700,-11317,-8037,11738,12526,
投资收益(万元),195932,110278,67891,143592,170538,112631,57662,241427,196138,120766,62231,285820,213493,128758,398608,186685,62721,149756,61404,15200,136015,86350,61781,34069,
对联营企业和合营企业的投资收益(万元),-902,177,-153,787,-421,126,-36,,-440,-263,-114,-334,,,,,,,,,,,,,
汇兑收益(万元),236,3,-265,-2237,-2129,-2883,-4177,,-9891,-6987,-3293,3194,-102,-103,-1438,-464,-6,166,16,,22,-30,-23,25,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),54677,33039,15792,69101,48117,29905,14580,,47426,31851,10247,72509,51440,37991,64966,23099,4905,33489,5772,800,20341,4098,6152,417,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),505824,305679,198589,404050,291857,223246,130210,534925,404739,248991,133432,698694,552985,368934,1143516,547709,151919,442588,107326,18100,238530,89838,179079,63006,
营业外收入(万元),1364,1213,1073,1895,875,797,758,,5292,762,1986,8495,6660,6397,4519,509,48,4205,472,,4265,801,2271,278,
营业外支出(万元),1811,410,253,801,-17,137,81,,1791,-95,31,1447,1009,2804,852,116,35,348,159,,744,588,397,99,
非流动资产处置损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,
利润总额(万元),505377,306481,199409,405144,292749,223906,130887,535534,408239,249848,135388,705742,558636,372527,1147182,548102,151933,446445,107639,,242051,90051,180952,63185,
所得税费用(万元),120605,72289,49625,94801,72922,53267,31330,129369,100755,61261,33412,174420,140109,93420,280947,135990,37666,112789,27939,,64264,23617,46734,15379,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),384772,234193,149784,310343,219827,170639,99557,406165,307484,188587,101976,531322,418527,279107,866235,412112,114267,333656,79701,,177787,66434,134218,47805,
归属于母公司所有者的净利润(万元),381977,232951,148792,308746,218547,169286,98982,401543,303330,185514,100539,525925,413861,276318,864889,411696,114267,335945,80423,13400,178696,66434,134218,47805,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),2795,1241,992,1597,1280,1353,575,4622,4154,3073,1437,5397,4666,2789,1346,416,,-2289,-722,,-909,,,,
基本每股收益,0.5,0.3,0.19,0.38,0.3,0.23,0.14,0.51,0.42,0.26,0.14,0.81,,,,,,,,,,,,,
稀释每股收益,0.5,0.3,0.19,0.38,0.3,0.23,0.14,0.51,0.42,0.26,0.14,0.81,,,,,,,,,,,,,
