报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),22846,14969,7338,30660,22286,14891,7975,28384,19205,13028,6580,22782,15714,23954,21429,21632,
营业收入(万元),22846,14969,7338,30660,22286,14891,7975,28384,19205,13028,6580,22782,15714,23954,21429,21632,
利息收入(万元),,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,
营业总成本(万元),19046,12458,6197,26099,18817,12535,6876,23951,15874,10822,5418,18188,12456,19076,17779,17998,
营业成本(万元),16184,10494,5188,22384,16167,10653,5562,19988,13374,9046,4480,14861,10085,15108,14154,14474,
利息支出(万元),,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,
研发费用(万元),820,548,245,967,783,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,
营业税金及附加(万元),192,118,45,233,194,151,101,332,193,169,79,194,98,209,170,166,
销售费用(万元),1022,640,361,1317,932,652,341,1146,812,567,289,1095,740,1257,1010,994,
管理费用(万元),1071,724,349,1392,975,1144,616,1977,1270,862,453,2001,1521,2248,2091,1883,
财务费用(万元),-243,-66,48,-287,-276,-81,156,237,184,127,67,-76,-26,29,263,318,
资产减值损失(万元),,,-38,94,43,15,100,270,41,51,50,113,37,224,92,163,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,
投资收益(万元),147,97,50,493,397,289,50,7,4,4,,4,4,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,
营业利润(万元),4195,2805,1327,5461,4224,2970,1456,4566,3335,2210,1161,4598,3263,4878,3650,3635,
营业外收入(万元),311,311,306,7,0,0,0,452,537,518,1,306,188,44,311,73,
营业外支出(万元),3,,,10,10,4,4,3,0,0,,5,3,6,228,37,
非流动资产处置损失(万元),,,,,,,,,,,,,,,3,,
利润总额(万元),4503,3116,1633,5458,4215,2966,1452,5016,3872,2728,1162,4899,3448,4916,3732,3671,
所得税费用(万元),726,471,250,790,671,472,217,707,584,392,162,680,503,688,565,543,
未确认投资损失(万元),,,,,,,,,,,,,,,,,
净利润(万元),3777,2645,1383,4668,3544,2495,1235,4309,3288,2335,1000,4219,2945,4228,3168,3127,
归属于母公司所有者的净利润(万元),3777,2645,1383,4668,3544,2495,1235,4309,3288,2335,1000,4219,2945,4228,3168,3127,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,
基本每股收益,0.37,0.26,0.14,0.46,0.35,0.24,0.19,0.87,0.68,0.49,0.21,0.88,0.61,0.88,0.66,0.65,
稀释每股收益,0.37,0.26,0.14,0.46,0.35,0.24,0.19,0.87,,0.49,0.21,0.88,,0.88,0.66,0.65,
