报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2016-12-31,
营业总收入(万元),1719179,1004554,514473,3294217,2500192,1677875,800786,3115842,2955541,2625762,
营业收入(万元),1719179,1004554,514473,3294217,2500192,1677875,800786,3115842,2955541,2625762,
利息收入(万元),,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,
营业总成本(万元),1494945,950259,479348,1712959,1241255,984990,499359,1756366,1736935,1720458,
营业成本(万元),1222900,784790,405928,1610316,1185572,873873,443696,1629918,1593526,1514367,
利息支出(万元),,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,
研发费用(万元),215,166,158,1767,1153,1061,35,838,715,677,
退保金(万元),,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,
分保费用(万元),,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,
营业税金及附加(万元),5624,2115,2189,10053,5714,8905,4263,2016,14261,12026,
销售费用(万元),,,,,,,,,,,
管理费用(万元),58981,39247,19444,26918,5528,4104,2064,6808,6351,6731,
财务费用(万元),207225,123941,51629,63904,43289,97046,49301,116786,122082,186658,
资产减值损失(万元),,,,,,,,,,,
公允价值变动收益(万元),,,,,,,,,,,
投资收益(万元),,,,,,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,
期货损益(万元),,,,,,,,,,,
托管收益(万元),,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,
营业利润(万元),224292,54350,35125,1591676,1269354,703303,311809,1366316,1207133,902439,
营业外收入(万元),5,3,1,75,73,69,3,105,15,22,
营业外支出(万元),13,3,,93,92,61,,1,5,27,
非流动资产处置损失(万元),,,,,,,,,,,
利润总额(万元),224284,54349,35126,1591657,1269335,703311,311812,1366420,1207143,902435,
所得税费用(万元),97649,44248,23851,397932,317339,191359,85160,341622,301799,112116,
未确认投资损失(万元),,,,,,,,,,,
净利润(万元),126635,10101,11276,1193725,951997,511952,226652,1024797,905344,790319,
归属于母公司所有者的净利润(万元),184845,53027,32359,1193725,951997,533703,236747,1024797,905344,790319,
被合并方在合并前实现净利润(万元),,,,,,,,,,,
少数股东损益(万元),-58210,-42926,-21083,,,-21750,-10095,,,,
基本每股收益,0.04,0.01,0.01,0.29,0.24,0.13,0.06,0.26,0.23,0.2,
稀释每股收益,0.04,0.01,0.01,0.29,0.24,0.13,0.06,0.26,0.23,0.2,
