报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
营业总收入(万元),97438,54534,143079,104533,66836,151837,150104,122778,
营业收入(万元),97438,54534,143079,104533,66836,151837,150104,122778,
利息收入(万元),,,,,,,,,
已赚保费(万元),,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,
房地产销售收入(万元),,,,,,,,,
其他业务收入(万元),,,,,,,,,
营业总成本(万元),86301,49206,125740,92475,60298,133487,127659,102824,
营业成本(万元),73812,41346,105413,78151,50708,111456,109931,86241,
利息支出(万元),,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,
房地产销售成本(万元),,,,,,,,,
研发费用(万元),4630,2747,7296,5141,3478,5365,4545,3996,
退保金(万元),,,,,,,,,
赔付支出净额(万元),,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,
保单红利支出(万元),,,,,,,,,
分保费用(万元),,,,,,,,,
其他业务成本(万元),,,,,,,,,
营业税金及附加(万元),611,401,985,672,579,1223,1134,964,
销售费用(万元),2142,1355,2755,1716,1091,3243,3120,2735,
管理费用(万元),4696,3103,8410,6088,3926,9991,6452,6679,
财务费用(万元),410,254,882,707,517,974,852,990,
资产减值损失(万元),,,,,,1236,1624,1219,
公允价值变动收益(万元),,,,,,,,,
投资收益(万元),2090,1105,4024,2513,1666,4182,3525,2602,
对联营企业和合营企业的投资收益(万元),2090,1105,4024,2513,1666,4182,3525,2602,
汇兑收益(万元),,,,,,,,,
期货损益(万元),,,,,,,,,
托管收益(万元),,,,,,,,,
补贴收入(万元),,,,,,,,,
其他业务利润(万元),,,,,,,,,
营业利润(万元),12322,5328,21024,14753,8206,22885,26107,22557,
营业外收入(万元),651,180,2374,789,549,1844,761,687,
营业外支出(万元),56,46,183,86,24,190,216,516,
非流动资产处置损失(万元),,,,,,,,,
利润总额(万元),12917,5461,23215,15456,8731,24538,26652,22729,
所得税费用(万元),2215,754,2664,2187,1270,3674,4717,3476,
未确认投资损失(万元),,,,,,,,,
净利润(万元),10702,4707,20551,13269,7461,20864,21935,19253,
归属于母公司所有者的净利润(万元),10702,4707,20551,13269,7461,20864,21935,19364,
被合并方在合并前实现净利润(万元),,,,,,,,,
少数股东损益(万元),,,,,,,,-111,
基本每股收益,0.29,0.13,0.55,0.35,0.2,0.57,,,
稀释每股收益,0.29,0.13,0.55,0.35,0.2,0.57,,,
