报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,2014-03-31,
营业总收入(万元),134320,80357,155354,116782,73507,139768,123938,108596,17343,
营业收入(万元),134320,80357,155354,116782,73507,139768,123938,108596,17343,
利息收入(万元),,,,,,,,,,
已赚保费(万元),,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,
其他业务收入(万元),,,,,,,,,,
营业总成本(万元),101817,61870,123649,92750,60609,117882,101993,84647,15869,
营业成本(万元),83645,51460,97595,74675,47702,92608,79818,67274,12786,
利息支出(万元),,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,
研发费用(万元),4292,2911,5594,4182,2683,4783,4397,3291,,
退保金(万元),,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,
保单红利支出(万元),,,,,,,,,,
分保费用(万元),,,,,,,,,,
其他业务成本(万元),,,,,,,,,,
营业税金及附加(万元),1121,721,1374,903,574,1183,1294,1118,96,
销售费用(万元),5522,3561,12337,8975,6002,11107,10255,8998,1384,
管理费用(万元),5591,3341,6966,4908,3238,7669,5145,4760,1365,
财务费用(万元),1646,-123,-216,-893,409,-371,1165,-1200,238,
资产减值损失(万元),,,,,,902,-80,406,,
公允价值变动收益(万元),,,749,749,749,-749,,,,
投资收益(万元),45,31,-524,-524,-524,-784,95,175,148,
对联营企业和合营企业的投资收益(万元),,,,,,12,39,100,,
汇兑收益(万元),,,,,,,,,,
期货损益(万元),,,,,,,,,,
托管收益(万元),,,,,,,,,,
补贴收入(万元),,,,,,,,,,
其他业务利润(万元),,,,,,,,,,
营业利润(万元),32916,18607,33084,24806,13177,21732,22613,24123,1623,
营业外收入(万元),1182,1182,39,38,1,6497,5126,3117,36,
营业外支出(万元),160,150,23,7,7,34,9,421,16,
非流动资产处置损失(万元),,,,,,,,,,
利润总额(万元),33938,19638,33101,24837,13171,28195,27730,26819,1643,
所得税费用(万元),2552,1620,4640,3686,1986,3720,3731,3995,277,
未确认投资损失(万元),,,,,,,,,,
净利润(万元),31387,18018,28460,21151,11186,24475,23999,22825,1366,
归属于母公司所有者的净利润(万元),31387,18018,28460,21151,11186,24475,23999,22825,1366,
被合并方在合并前实现净利润(万元),,,,,,,,,,
少数股东损益(万元),,,,,,,,,,
基本每股收益,0.87,0.5,0.79,0.59,0.31,0.68,,,,
稀释每股收益,0.87,0.5,0.79,0.59,0.31,0.68,,,,
