报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),160072,92660,177703,124753,71734,147480,128198,48613,95264,80071,30968,63435,42690,29834,
营业收入(万元),160072,92660,177703,124753,71734,147480,128198,48613,95264,80071,30968,63435,42690,29834,
利息收入(万元),,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,
营业总成本(万元),124634,73829,139140,92144,54343,111531,95415,36212,74021,63517,23948,49577,33480,23841,
营业成本(万元),95342,56296,102420,70667,40394,82750,71991,26759,56435,47393,17482,37916,24300,18197,
利息支出(万元),,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,
研发费用(万元),7386,4717,9277,5733,3719,6634,5221,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,
营业税金及附加(万元),1126,621,1494,1081,587,1311,1205,375,771,645,264,514,382,224,
销售费用(万元),13319,7834,14372,9170,5876,11986,9524,3219,6675,5359,2130,3688,3037,1964,
管理费用(万元),7174,4157,7699,5093,3105,6913,6207,4681,8693,8562,3224,6634,5854,3205,
财务费用(万元),286,203,817,400,662,822,262,28,805,558,78,214,113,104,
资产减值损失(万元),,,,,,1115,1006,1149,643,998,771,611,-207,147,
公允价值变动收益(万元),,,,,,,,,,,,,,,
投资收益(万元),-786,-752,-430,-374,-285,-425,-387,-194,,31,31,208,,,
对联营企业和合营企业的投资收益(万元),-227,-192,-430,-374,-285,-425,-387,-194,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,
营业利润(万元),31140,16089,39672,29376,15166,36289,32307,12207,21243,16585,7050,14066,9210,5993,
营业外收入(万元),51,7,487,448,256,1922,1526,225,2856,1190,826,538,50,172,
营业外支出(万元),125,4,24,3,0,87,14,0,21,19,17,43,9,21,
非流动资产处置损失(万元),,,,,,,,0,19,19,17,43,8,13,
利润总额(万元),31066,16092,40134,29820,15422,38125,33819,12432,24078,17756,7859,14561,9252,6145,
所得税费用(万元),5045,2700,6173,4800,2562,6005,5262,1928,3589,2674,1096,2019,1140,670,
未确认投资损失(万元),,,,,,,,,,,,,,,
净利润(万元),26021,13392,33961,25020,12860,32119,28557,10504,20490,15082,6764,12542,8112,5475,
归属于母公司所有者的净利润(万元),26938,14011,34405,25282,13029,32287,28394,10484,20319,15049,6800,12355,7884,5288,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,
少数股东损益(万元),-917,-619,-443,-262,-169,-168,163,20,171,33,-37,187,228,187,
基本每股收益,1.39,0.78,1.91,1.4,0.72,1.79,1.58,0.58,3.39,2.51,1.13,2.06,1.31,0.9,
稀释每股收益,1.39,0.78,1.91,1.4,0.72,1.79,1.58,0.58,3.39,2.51,1.13,2.06,1.31,0.9,
