报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),927851,589436,276947,961368,692114,440921,214176,776526,567788,366537,176819,611613,488335,413978,
营业收入(万元),927851,589436,276947,961368,692114,440921,214176,776526,567788,366537,176819,611613,488335,413978,
利息收入(万元),,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,
营业总成本(万元),728807,474898,235864,782350,542992,347023,179422,642878,450398,281956,135510,482315,439631,347319,
营业成本(万元),561274,360828,171323,582098,410552,264268,130429,451679,325022,207511,99623,362330,319620,261719,
利息支出(万元),,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,
研发费用(万元),41432,24362,11173,43653,29700,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,
营业税金及附加(万元),1987,1545,605,2856,2224,1702,1026,2572,1645,1171,504,1510,852,277,
销售费用(万元),31317,20851,10480,33788,23302,15268,7299,29151,20996,13291,6771,20044,18581,13215,
管理费用(万元),102846,65628,29502,113080,76766,60506,26904,126933,90343,53619,26361,103735,98682,69492,
财务费用(万元),-10049,1684,12615,5621,335,5980,13833,18446,11636,5492,1811,-8395,-1238,1456,
资产减值损失(万元),,,-19,201,97,-702,-70,14096,755,873,441,3092,3134,1161,
公允价值变动收益(万元),-13218,-5439,-13450,60644,59023,38145,414,68,68,68,673,-71,,,
投资收益(万元),19959,12594,21143,7964,3645,5961,-127,3979,3966,3421,531,-257,28270,19538,
对联营企业和合营企业的投资收益(万元),10494,5278,18105,7683,1089,2990,-977,-4864,-4053,-2551,-1421,-4248,-2939,-2595,
汇兑收益(万元),,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,
营业利润(万元),215138,128707,50627,258470,216887,141536,36531,146059,121424,91108,42513,128461,77168,86196,
营业外收入(万元),134,97,28,1009,1459,1313,351,13598,17743,5075,2604,10426,7154,11072,
营业外支出(万元),676,658,324,1397,473,345,283,395,749,67,345,670,4187,399,
非流动资产处置损失(万元),,,,,,231,,,598,,310,,,336,
利润总额(万元),214597,128147,50332,258082,217873,142503,36599,159262,138418,96116,44772,138218,80135,96869,
所得税费用(万元),32754,17650,8978,24714,19956,12096,6178,29590,26928,17948,8778,26120,11757,16058,
未确认投资损失(万元),,,,,,,,,,,,,,,
净利润(万元),181842,110497,41354,233368,197917,130407,30422,129672,111490,78168,35993,112097,68378,80812,
归属于母公司所有者的净利润(万元),176515,105676,38648,226052,192838,127190,29066,122709,106304,74244,33687,97498,34897,46150,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,238,22275,,
少数股东损益(万元),5328,4820,2706,7316,5079,3217,1356,6963,5186,3924,2307,14599,33481,34661,
基本每股收益,1.08,0.65,0.33,2.23,1.94,1.31,0.31,1.31,1.13,0.79,0.36,1.08,0.39,0.51,
稀释每股收益,1.07,0.64,0.33,2.21,1.93,,,,,,,,,,
