报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),176631,108468,50414,216729,161924,100539,46771,195721,147690,90197,39335,163487,118846,74951,35298,140049,124158,117146,109343,
营业收入(万元),176631,108468,50414,216729,161924,100539,46771,195721,147690,90197,39335,163487,118846,74951,35298,140049,124158,117146,109343,
利息收入(万元),,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,
营业总成本(万元),152124,94224,46343,190278,141717,90164,44215,176477,129956,79456,33645,132259,96135,61886,29420,119136,106094,101934,97066,
营业成本(万元),134513,81465,37800,167466,127365,79367,36879,152551,112739,69620,29195,115276,84640,53997,25830,104048,90697,86071,82858,
利息支出(万元),,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,
研发费用(万元),5953,3732,1868,7284,4513,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),1218,746,367,1217,943,561,309,929,566,239,134,672,545,361,176,616,660,546,315,
销售费用(万元),7639,4524,2108,9129,6108,3845,1261,8147,4290,2814,1053,6366,4051,2918,1002,5468,5251,4611,4301,
管理费用(万元),7939,4939,2749,8524,7060,8021,3931,11920,10420,6290,2840,10755,7045,4629,2445,10109,8808,8702,7952,
财务费用(万元),-5139,-1182,1618,-3830,-4494,-1587,1828,2996,1789,561,515,-1750,-313,-164,-89,-1310,909,1469,1628,
资产减值损失(万元),,,-167,489,222,-43,7,-66,152,-68,-92,939,168,145,57,204,-230,535,11,
公允价值变动收益(万元),,,,,,,,,1175,1062,587,991,854,737,105,-1681,-685,167,41,
投资收益(万元),614,387,387,2257,1661,1262,420,1654,-952,-825,-404,-858,-580,-160,-62,38,-338,-52,15,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,
营业利润(万元),25755,14875,4647,29891,21942,11688,2993,20945,17957,10978,5872,31362,22984,13642,5921,19270,17040,15327,12334,
营业外收入(万元),322,321,3,139,24,23,20,827,741,711,13,67,50,31,31,420,96,104,32,
营业外支出(万元),116,105,102,2999,2126,101,1,448,13,10,,90,89,45,,1094,10,135,49,
非流动资产处置损失(万元),,,,,,,,,2,,,50,16,16,,108,,,13,
利润总额(万元),25961,15091,4548,27030,19840,11610,3012,21324,18685,11679,5859,31339,22946,13628,5889,18596,17126,15297,12316,
所得税费用(万元),4218,2653,1037,4452,3401,1934,532,3256,2825,1786,902,4871,3576,2141,1023,2903,2738,2547,1782,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,
净利润(万元),21742,12438,3511,22579,16440,9676,2480,18069,15860,9893,4957,26468,19370,11487,4867,15693,14388,12750,10534,
归属于母公司所有者的净利润(万元),21742,12438,3511,22579,16440,9676,2480,18069,15860,9893,4957,26468,19370,11487,4867,15693,14388,12750,10534,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,
基本每股收益,0.54,0.31,0.09,0.56,0.41,0.24,0.06,0.49,0.46,0.29,0.16,0.85,0.62,0.37,0.16,0.5,0.46,0.41,0.34,
稀释每股收益,0.54,0.31,0.09,0.56,0.41,0.24,0.06,0.49,0.39,0.25,0.16,0.85,0.62,0.37,0.16,0.5,0.46,0.41,0.34,
