报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),128526,76207,33397,142886,102808,66508,27995,130644,94695,61103,29267,103490,102101,98691,
营业收入(万元),128526,76207,33397,142886,102808,66508,27995,130644,94695,61103,29267,103490,102101,98691,
利息收入(万元),,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,
营业总成本(万元),119320,72260,32322,131882,96506,62939,26652,119741,87755,56647,27538,96248,95743,96793,
营业成本(万元),87557,52803,23574,98073,71787,47612,20000,91990,67065,43031,21161,70689,71576,76837,
利息支出(万元),,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,
研发费用(万元),3356,2254,990,5691,3957,,,,3072,,,,,,
退保金(万元),,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,
营业税金及附加(万元),793,567,282,1618,1131,839,269,1488,1030,683,276,1435,772,556,
销售费用(万元),12645,7755,3515,11780,8397,5233,2049,8932,6796,4487,2136,7743,6884,4505,
管理费用(万元),13543,7796,3261,11100,8774,7687,2987,14493,7542,6774,3054,13679,13037,10190,
财务费用(万元),1426,1084,1045,2377,2019,1056,1269,2963,2255,1378,827,1701,2880,4417,
资产减值损失(万元),,,-345,1243,441,512,79,-126,-6,293,84,1001,594,289,
公允价值变动收益(万元),-357,-20,,,-200,-437,60,,,,,,,,
投资收益(万元),-52,-75,38,-754,417,116,-5,-23,-5,-5,,685,2508,-267,
对联营企业和合营企业的投资收益(万元),,,,-18,,,,-23,,-5,,,,-294,
汇兑收益(万元),,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,
营业利润(万元),12141,7305,3636,15342,10102,6284,2404,14800,8868,5552,2621,7917,8249,1632,
营业外收入(万元),30,15,14,69,38,31,28,58,86,91,23,2404,1044,1211,
营业外支出(万元),34,29,8,256,42,15,5,122,116,89,12,358,163,413,
非流动资产处置损失(万元),,,,,,,,,,53,,,,168,
利润总额(万元),12137,7292,3642,15156,10099,6300,2428,14736,8839,5554,2632,9963,9130,2430,
所得税费用(万元),1731,1067,413,2168,1568,1084,456,2524,1644,922,436,1675,1205,231,
未确认投资损失(万元),,,,,,,,,,,,,,,
净利润(万元),10406,6225,3229,12988,8531,5216,1972,12211,7194,4631,2196,8288,7925,2199,
归属于母公司所有者的净利润(万元),9511,6011,3176,13020,8526,5210,1971,12177,7190,4630,2203,8284,7906,2177,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,
少数股东损益(万元),895,214,53,-32,5,6,1,35,4,1,-6,4,19,21,
基本每股收益,0.68,0.43,0.32,1.42,0.96,0.63,0.26,1.62,0.96,0.62,0.29,1.11,1.62,,
稀释每股收益,0.68,0.43,0.32,1.42,0.96,0.63,0.26,1.62,0.96,0.62,0.29,1.11,1.62,,
