报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),53651,36310,61338,48862,21589,36937,26806,10888,21634,18563,16886,15921,
营业收入(万元),53651,36310,61338,48862,21589,36937,26806,10888,21634,18563,16886,15921,
利息收入(万元),,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,
营业总成本(万元),36207,23831,42155,32249,16425,30237,22503,9785,18712,16041,14180,12122,
营业成本(万元),24997,17062,28012,21257,10281,19709,13991,5825,11474,9301,8261,7123,
利息支出(万元),,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,
研发费用(万元),3250,2160,4148,2326,1339,,,,,,,,
退保金(万元),,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,
营业税金及附加(万元),457,267,923,537,195,576,498,84,196,191,278,344,
销售费用(万元),4278,2784,5566,4052,2678,4105,3540,1534,2955,2711,2446,1858,
管理费用(万元),2751,1638,3600,2518,1430,5431,3864,2011,3496,3011,2678,1930,
财务费用(万元),-132,-81,-94,-67,-51,-78,42,52,245,251,128,198,
资产减值损失(万元),,,,1624,552,494,568,279,346,575,389,669,
公允价值变动收益(万元),,,,,,,,,,,,,
投资收益(万元),,,,,,,,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,
营业利润(万元),20550,14117,20888,17818,6134,8724,4303,1103,2922,2522,2705,3799,
营业外收入(万元),44,44,99,6,0,366,1818,1092,1648,1517,1261,742,
营业外支出(万元),1,1,5,5,5,30,9,4,48,3,1,2,
非流动资产处置损失(万元),,,,,,,,1,2,1,1,1,
利润总额(万元),20593,14160,20982,17819,6130,9060,6112,2191,4521,4036,3966,4539,
所得税费用(万元),2934,2028,2912,2673,934,1299,788,321,567,483,555,638,
未确认投资损失(万元),,,,,,,,,,,,,
净利润(万元),17659,12132,18070,15146,5196,7761,5324,1870,3954,3553,3411,3902,
归属于母公司所有者的净利润(万元),17659,12132,18070,15146,5196,7761,5324,1870,3954,3553,3411,3902,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,
基本每股收益,2.94,2.02,3.01,2.52,0.87,1.29,0.89,0.31,0.66,0.59,0.57,0.65,
稀释每股收益,,2.02,3.01,,0.87,1.29,0.89,,,,,,
