报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),40457,27348,10335,50759,29862,19823,7940,36700,20116,9730,5002,
营业收入(万元),40457,27348,10335,50759,29862,19823,7940,36700,20116,9730,5002,
利息收入(万元),,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,
营业总成本(万元),34145,22147,8489,41191,25741,15317,6176,27743,16400,7403,3138,
营业成本(万元),11508,7634,2719,13359,7516,4058,1660,5868,3400,1281,535,
利息支出(万元),,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,
研发费用(万元),6086,4075,1660,7220,4978,3175,1251,,,,,
退保金(万元),,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,
营业税金及附加(万元),704,535,219,1199,743,505,189,955,475,134,31,
销售费用(万元),9331,5733,2247,13472,8555,4897,1460,10550,5713,2571,438,
管理费用(万元),6220,3918,1455,5874,4044,2747,1498,10130,6591,3430,2098,
财务费用(万元),296,251,164,-160,-94,-66,138,209,-164,-92,8,
资产减值损失(万元),,,,227,,,-20,31,385,78,28,
公允价值变动收益(万元),47,8,22,,,,,,,,,
投资收益(万元),202,149,75,465,381,196,101,291,299,42,3,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,
营业利润(万元),6773,5222,1943,10623,4410,4629,1865,9944,4014,2369,1867,
营业外收入(万元),16,16,5,34,28,28,0,0,104,5,,
营业外支出(万元),2,2,,16,5,5,4,11,35,92,,
非流动资产处置损失(万元),,,,,,,,,,,,
利润总额(万元),6787,5237,1949,10640,4433,4651,1861,9933,4083,2283,1867,
所得税费用(万元),616,556,134,1068,624,584,193,1309,567,348,233,
未确认投资损失(万元),,,,,,,,,,,,
净利润(万元),6172,4681,1814,9572,3809,4067,1668,8624,3516,1935,1634,
归属于母公司所有者的净利润(万元),6172,4681,1814,9572,3809,4067,1668,8624,3516,1935,1634,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,
基本每股收益,1.44,1.17,0.45,2.39,0.95,1.02,0.42,2.16,0.88,0.57,2.13,
稀释每股收益,1.44,1.17,0.45,2.39,0.95,1.02,0.42,2.16,0.88,0.57,2.13,
