报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),92010,60960,128538,93347,60138,120995,86352,55370,108408,101245,88067,
营业收入(万元),92010,60960,128538,93347,60138,120995,86352,55370,108408,101245,88067,
利息收入(万元),,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,
营业总成本(万元),86345,55905,117521,85962,54215,105820,76577,47958,102349,97084,85045,
营业成本(万元),73989,48034,102088,74770,46937,91844,66464,41631,88075,85230,74599,
利息支出(万元),,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,
研发费用(万元),3399,2329,3802,2371,1633,2932,2122,,,,,
退保金(万元),,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,
保单红利支出(万元),,0,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,
营业税金及附加(万元),597,418,1090,785,486,886,575,368,801,566,446,
销售费用(万元),4048,2507,4857,3588,2254,4475,3164,2075,4513,4375,4108,
管理费用(万元),3742,2221,4908,4051,2624,4683,3491,3495,6916,6236,5938,
财务费用(万元),570,397,662,467,272,-112,-37,-19,-83,-8,-372,
资产减值损失(万元),,,113,-70,9,1113,799,410,2127,685,326,
公允价值变动收益(万元),,,,,,,,,,,,
投资收益(万元),1301,845,2589,1745,1077,2033,1448,1190,-459,5,,
对联营企业和合营企业的投资收益(万元),1301,845,2589,1745,1077,1015,429,172,-459,,,
汇兑收益(万元),,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,
营业利润(万元),9600,8042,15582,10449,8105,18411,12135,9092,5600,4166,3022,
营业外收入(万元),72,8,208,90,72,99,19,17,1922,871,401,
营业外支出(万元),121,8,179,156,145,20,15,44,609,272,555,
非流动资产处置损失(万元),,,,,,,,29,43,12,394,
利润总额(万元),9551,8042,15612,10383,8032,18490,12139,9065,6912,4765,2868,
所得税费用(万元),1057,957,1910,1283,1095,1766,856,1342,1628,1151,1120,
未确认投资损失(万元),,,,,,,,,,,,
净利润(万元),8494,7085,13701,9100,6937,16724,11283,7723,5285,3614,1747,
归属于母公司所有者的净利润(万元),8812,7238,14134,9377,7073,16418,11196,7414,4884,3572,1542,
被合并方在合并前实现净利润(万元),,,,,,,,,-17,-61,-43,
少数股东损益(万元),-318,-153,-433,-277,-136,306,87,309,401,41,205,
基本每股收益,0.24,0.2,0.39,0.26,0.2,0.48,0.34,0.23,0.18,,,
稀释每股收益,0.24,0.2,0.39,0.26,0.2,0.48,0.34,0.23,0.18,,,
