报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),38928,21388,9992,50065,34228,19623,10980,44939,28855,9359,31849,30581,30751,
营业收入(万元),38928,21388,9992,50065,34228,19623,10980,44939,28855,9359,31849,30581,30751,
利息收入(万元),,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,
营业总成本(万元),26532,14932,7425,35714,24140,14698,9132,33826,22545,6981,24005,23035,21299,
营业成本(万元),19873,10410,5008,25533,18136,10955,6372,23820,15974,5318,19148,20020,17618,
利息支出(万元),,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,
研发费用(万元),1828,1063,488,2562,,,512,,,,,,,
退保金(万元),,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,
营业税金及附加(万元),340,223,133,552,413,284,217,434,325,72,134,196,330,
销售费用(万元),2670,1570,697,3017,1899,1100,544,2314,1558,505,1542,852,691,
管理费用(万元),2580,1680,869,3761,4247,2642,686,5935,3960,986,3743,2624,2175,
财务费用(万元),-758,-13,446,-358,-504,89,847,1055,740,158,-841,-602,-42,
资产减值损失(万元),,,-217,646,-51,-372,-46,267,-12,-57,280,-54,527,
公允价值变动收益(万元),,,,,,-143,,,,,,,,
投资收益(万元),519,311,106,-217,-217,,,,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,
营业利润(万元),12758,6786,2680,14221,9893,4791,1849,11163,6319,2378,7805,7542,9453,
营业外收入(万元),729,717,670,253,305,259,245,575,317,117,333,52,60,
营业外支出(万元),11,11,8,5,5,4,,7,7,4,250,40,16,
非流动资产处置损失(万元),,,,,,,,,,2,,,15,
利润总额(万元),13475,7492,3342,14468,10193,5046,2094,11731,6630,2491,7888,7554,9497,
所得税费用(万元),2044,1187,552,1867,1614,712,316,1838,1196,358,1246,1201,1389,
未确认投资损失(万元),,,,,,,,,,,,,,
净利润(万元),11431,6305,2790,12601,8579,4335,1778,9893,5434,2133,6642,6353,8107,
归属于母公司所有者的净利润(万元),11431,6305,2790,12601,8579,4335,1778,9893,5434,2133,6642,6119,8109,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,235,-1,
基本每股收益,0.97,0.54,0.25,1.38,0.94,0.48,0.2,1.12,0.62,0.27,0.83,0.76,1.07,
稀释每股收益,0.97,0.54,0.25,1.38,,0.48,0.2,1.12,,0.27,0.83,0.76,1.07,
