报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,
营业总收入(万元),165953,100240,50702,123393,90433,63717,32958,138456,100294,67998,149961,113999,70963,300007,142128,101494,85603,90633,54216,126001,53328,157539,74369,108048,72028,224725,
营业收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入(万元),90012,55060,25014,69904,28836,37304,18454,75425,34024,41255,91189,69937,47553,118383,47031,29150,28556,22276,7895,18869,7527,18470,6555,20071,7194,16838,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,53014,78015,43697,99934,42410,124137,57170,72010,45530,128653,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),505,297,132,578,426,280,142,581,455,291,651,491,274,756,816,463,551,565,2000,485,264,664,246,514,242,385,
营业总成本(万元),79519,49762,24077,92253,59977,40174,18087,84485,57612,35905,85597,51860,33065,110860,69624,63644,62093,64241,23888,65111,22621,64208,21569,47036,17793,56871,
营业成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出(万元),31837,18935,8426,32739,,17371,7744,30566,,15720,60067,48152,36110,92437,24282,8886,6246,3613,,3681,,3166,,6345,,7231,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,1,,,,,
营业税金及附加(万元),1228,766,349,1802,1183,894,507,1620,956,681,4513,4106,3605,18294,7327,4868,3395,4354,2789,6244,2882,8170,3568,5701,4171,11391,
销售费用(万元),77468,48201,22490,84829,53232,33608,,82318,,34993,81160,48285,30171,90540,61752,58201,58671,59842,21099,58883,19740,56033,18001,42543,13621,44584,
管理费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
资产减值损失(万元),,,,5622,5562,5672,252,547,395,231,-76,-531,-711,2026,545,575,27,45,,-16,,5,,-1207,,896,
公允价值变动收益(万元),12473,3826,7807,-3193,-2353,-2763,126,3278,3995,3200,-12313,-7364,-8726,6463,2445,-1535,2429,-4370,-19,132,-717,428,3082,-11436,-10421,9667,
投资收益(万元),16937,12371,7880,31065,20096,13170,5142,25012,14790,8041,27995,23521,16457,74164,27664,12646,7301,-2136,692,10326,3856,17007,7317,33340,29586,76510,
对联营企业和合营企业的投资收益(万元),2038,1755,1683,352,638,514,198,1153,307,149,1204,595,401,1264,-1298,-1466,-1900,-2501,,,-1,,,13,6,,
汇兑收益(万元),99,8,-63,152,161,36,-116,-188,-78,-78,196,80,60,155,8,-67,-4,-104,-49,-64,-13,-2,-1,-106,-102,-96,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),4106,3046,1167,5804,4399,2977,1386,8294,4777,3295,10439,7331,5397,5551,2953,1873,1373,1980,920,1150,726,1074,1177,661,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),86434,50478,26624,31140,30456,23543,14872,53972,42682,32093,64364,62139,37898,189147,72505,37850,23509,26392,30328,60890,30706,93331,52800,61012,54235,167855,
营业外收入(万元),278,141,1,399,439,310,66,1196,836,617,1139,1665,1294,440,2738,285,842,2497,161,542,58,230,138,797,66,93,
营业外支出(万元),54,51,32,760,316,42,28,814,283,219,660,394,270,1992,174,174,330,202,30,115,42,161,82,360,197,328,
非流动资产处置损失(万元),,,,,,,,,,,,11,,,38,85,,,,,,,,,,,
利润总额(万元),86658,50568,26593,30779,30579,23812,14910,54354,43235,32491,64843,63409,38922,187594,75068,37961,24022,28687,30459,61317,30723,93399,52855,61449,54104,167619,
所得税费用(万元),21088,12038,5477,7210,7622,5025,3837,13133,11210,8124,15471,15113,9509,46279,19521,10702,6413,9739,7603,18190,7482,23933,13123,15470,6529,55007,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),65571,38530,21115,23568,22956,18787,11073,41221,32025,24367,49372,48296,29413,141315,55547,27259,17608,18948,22856,43127,23241,69466,39732,45979,47576,112612,
归属于母公司所有者的净利润(万元),65193,38385,21102,23178,22602,18634,11040,41060,31897,24253,49356,48317,29432,141303,55444,27093,17505,18879,22856,43079,23241,69468,39732,46012,47576,112627,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),378,144,14,390,354,153,32,161,128,114,16,-21,-19,13,103,166,103,69,,48,,-2,,-32,,-15,
基本每股收益,0.2,0.14,0.08,0.09,0.09,0.08,0.04,0.17,0.13,0.1,0.2,0.2,0.12,0.71,0.29,0.14,,,,,,,,,,,
稀释每股收益,0.2,0.14,0.08,0.09,0.09,0.08,0.04,0.17,0.13,0.1,0.2,0.2,0.12,0.71,0.29,0.14,,,,,,,,,,,
