报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,
营业总收入(万元),1240160,815791,420270,1394083,1016546,645394,323926,1212756,893962,612017,284783,1004028,763864,497706,833665,641609,308255,514691,420830,
营业收入(万元),,,,,,,,,,,,,,,,,,,,
利息收入(万元),1855378,1201291,584843,2236752,1636152,1052297,517507,1940034,1426344,926098,435736,1562000,1143009,744468,1282874,1074115,648797,850194,678948,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),162485,105870,53017,190064,127354,80030,36120,129170,88294,56397,29876,99159,71666,46099,69602,37553,13532,34184,25601,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),439,399,192,985,3300,655,271,1251,513,305,139,956,834,531,1847,1766,638,3817,3786,
营业总成本(万元),711294,481249,248287,830343,544836,342211,167613,711564,459360,251449,148404,577002,412640,248348,481371,327593,144660,230627,192767,
营业成本(万元),,,,,,,,,,,,,,,,,,,,
利息支出(万元),961108,620707,299925,1081744,787940,507224,242431,828058,596382,364206,177059,665776,487948,319321,554219,486761,363478,373072,299968,
手续费及佣金支出(万元),32277,17495,7485,32060,15936,8861,2465,19808,13152,7573,3756,14585,9411,5412,12189,10894,6829,6928,4421,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,
研发费用(万元),,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,0,0,,0,,746,,
营业税金及附加(万元),9681,5944,2953,13268,9976,6465,3178,10976,7926,5152,2666,33635,31491,28952,70949,57240,27273,43016,30511,
销售费用(万元),352700,245491,131192,475696,330513,202124,103403,408319,277089,165522,91071,322062,207193,127173,260232,203257,92300,163615,137850,
管理费用(万元),,,,,,,,,,,,,,,,,,,,
财务费用(万元),,,,,,,,,,,,,,,,,,,,
资产减值损失(万元),,,114142,341380,204347,133621,61032,292269,174345,80774,54668,221304,173955,92223,150191,67095,25087,23250,24406,
公允价值变动收益(万元),52732,30824,25545,28954,21771,11671,7162,8105,6866,2834,-564,-5345,-3556,-3148,5925,7863,7421,-6803,-939,
投资收益(万元),157324,114040,64849,40692,25674,13764,7689,-14938,-14322,-412,-187,19687,45473,32345,39921,15696,7011,12819,17037,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,,
汇兑收益(万元),4039,1006,-907,4617,2125,1463,-417,-8420,-5251,-1428,599,8006,3797,2143,5795,2271,1163,481,787,
期货损益(万元),,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,
营业利润(万元),528866,334542,171983,563740,471710,303183,156313,501192,434602,360568,136379,427026,351224,249358,352293,314016,163595,284063,228063,
营业外收入(万元),1010,666,186,2276,513,280,75,1246,1012,1436,1041,1536,1047,647,2965,1458,297,2759,21474,
营业外支出(万元),1803,1585,1212,5487,2000,963,8,5419,3839,1310,394,3091,2593,244,874,4227,3302,1091,686,
非流动资产处置损失(万元),,,,,,,,,,,,,,,,,,,,
利润总额(万元),528073,333622,170957,560528,470223,302501,156380,497019,431776,360694,137026,425472,349678,249761,354384,311247,160591,285731,248850,
所得税费用(万元),104432,63145,31447,102756,90842,58734,30229,98519,86185,27629,27407,100303,84160,19426,77573,68072,14489,63971,54285,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,
净利润(万元),423642,270477,139511,457771,379381,243767,126151,398501,345590,333065,109619,325169,265518,230334,276811,243175,146102,221760,194566,
归属于母公司所有者的净利润(万元),414783,267154,136885,447861,372918,238481,123294,393071,338461,326880,107301,319008,260735,225890,273202,243092,144509,219339,191301,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),8858,3323,2626,9911,6462,5286,2857,5430,7129,6185,2317,6161,4783,4445,3610,83,1593,2420,3264,
基本每股收益,1.21,0.78,0.4,1.42,1.21,0.77,0.4,1.28,1.1,,,1.04,,,0.98,1.07,,0.95,0.96,
稀释每股收益,1.21,0.78,0.4,1.42,1.21,0.77,0.4,1.28,1.1,,,1.04,,,0.98,1.07,,0.95,0.96,
