报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,
营业总收入(万元),37441,28902,46522,31025,24713,43418,22676,33801,21149,27692,23866,
营业收入(万元),37441,28902,46522,31025,24713,43418,22676,33801,21149,27692,23866,
利息收入(万元),,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,
营业总成本(万元),31311,24338,37654,25085,19413,34917,17739,28776,17198,24456,23226,
营业成本(万元),26104,20327,30537,19927,15631,27659,14168,22770,14260,19173,18948,
利息支出(万元),,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,
研发费用(万元),2136,1558,2854,2021,1515,,,,,,,
退保金(万元),,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,
营业税金及附加(万元),223,146,354,235,186,342,148,181,55,126,58,
销售费用(万元),1265,956,1533,1152,782,1527,792,1295,776,1141,875,
管理费用(万元),1571,1057,2518,2014,1315,4775,2250,3742,1717,3663,2292,
财务费用(万元),12,156,-228,-343,-95,454,390,798,465,121,405,
资产减值损失(万元),,,87,79,79,160,-9,-10,-76,232,649,
公允价值变动收益(万元),,,,,,-5,-8,5,,,,
投资收益(万元),,,,,,-20,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,
营业利润(万元),6261,4704,9179,5975,5336,8896,4968,5030,3951,3236,639,
营业外收入(万元),11,10,104,1,1,104,,239,145,146,38,
营业外支出(万元),63,53,51,8,8,108,25,56,47,34,46,
非流动资产处置损失(万元),,,,,,,,,,2,,
利润总额(万元),6210,4662,9232,5968,5328,8892,4944,5213,4049,3348,632,
所得税费用(万元),820,545,1094,848,748,1194,641,726,533,515,307,
未确认投资损失(万元),,,,,,,,,,,,
净利润(万元),5390,4117,8138,5119,4580,7698,4302,4487,3516,2833,324,
归属于母公司所有者的净利润(万元),5155,3912,7795,4946,4395,7317,4074,4120,3186,2579,420,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,
少数股东损益(万元),235,205,343,173,186,380,228,367,330,255,-96,
基本每股收益,0.57,0.43,0.86,0.54,0.48,0.83,0.48,0.54,0.43,0.4,0.14,
稀释每股收益,0.57,,,0.52,,,,,,0.4,0.14,
