报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),25803,17140,9130,34387,23285,15321,8669,26661,13722,19443,16618,18194,
营业收入(万元),25803,17140,9130,34387,23285,15321,8669,26661,13722,19443,16618,18194,
利息收入(万元),,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,
营业总成本(万元),22329,14704,7215,27820,18820,12243,6874,21248,10410,15988,16119,18785,
营业成本(万元),16063,10567,5555,20584,14108,9236,5208,15825,7957,11959,11794,13597,
利息支出(万元),,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,
研发费用(万元),1378,809,317,1229,794,468,256,916,,833,,,
退保金(万元),,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,
营业税金及附加(万元),350,222,118,651,440,254,145,453,216,338,182,167,
销售费用(万元),1387,886,408,1790,1193,746,354,1272,550,744,669,1060,
管理费用(万元),2777,1852,705,2584,1799,1184,680,2222,1344,1477,2308,2540,
财务费用(万元),373,368,255,705,486,356,203,557,277,487,676,840,
资产减值损失(万元),,,-143,278,,,26,3,66,150,490,581,
公允价值变动收益(万元),,,,,,,,,,,,,
投资收益(万元),-33,-18,,-18,-18,-8,,-80,,-33,,,
对联营企业和合营企业的投资收益(万元),-33,-18,,-18,-18,-8,,-80,,-33,,,
汇兑收益(万元),,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,
营业利润(万元),3808,2716,1961,7068,4492,3185,1786,5422,3340,3357,499,-592,
营业外收入(万元),920,915,2,77,53,39,23,178,81,134,72,494,
营业外支出(万元),6,2,,4,4,4,7,1,3,13,1,43,
非流动资产处置损失(万元),,,,,,,,,2,,0,,
利润总额(万元),4722,3629,1963,7141,4542,3221,1802,5600,3419,3479,571,-140,
所得税费用(万元),752,621,263,766,526,393,201,581,371,282,14,-7,
未确认投资损失(万元),,,,,,,,,,,,,
净利润(万元),3969,3008,1700,6375,4016,2828,1601,5019,3048,3197,557,-133,
归属于母公司所有者的净利润(万元),3969,3008,1700,6375,4016,2828,1601,5019,3048,3197,557,-133,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,
基本每股收益,0.46,0.38,0.23,0.85,0.54,0.38,0.21,0.67,0.41,0.43,0.07,,
稀释每股收益,0.46,0.38,0.23,0.85,0.54,0.38,0.21,0.67,0.41,0.43,0.07,,
