报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),179011,111247,50666,178391,121927,75553,37349,129121,92435,58866,26630,93885,62957,48149,
营业收入(万元),179011,111247,50666,178391,121927,75553,37349,129121,92435,58866,26630,93885,62957,48149,
利息收入(万元),,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,
营业总成本(万元),161795,100422,45308,160097,108306,66137,32967,118525,85378,53462,24671,87385,56572,41246,
营业成本(万元),146523,90942,40971,145761,98036,59248,29459,105150,75683,46622,21205,75557,48014,36562,
利息支出(万元),,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,
研发费用(万元),1295,673,319,1043,690,,,,419,,,,,,
退保金(万元),,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,
营业税金及附加(万元),636,440,206,439,296,178,83,341,192,127,55,216,76,85,
销售费用(万元),3518,2421,943,3831,2858,2163,862,3277,2072,1387,694,2427,1803,1036,
管理费用(万元),8893,5293,2348,8265,5915,4053,1839,8756,6180,4860,2556,9655,6858,3385,
财务费用(万元),930,653,403,712,452,498,688,973,728,353,75,-436,-235,165,
资产减值损失(万元),,,118,46,59,-3,34,27,104,111,86,-33,56,13,
公允价值变动收益(万元),-101,-68,,,,,,,,,,,,,
投资收益(万元),556,389,256,-1595,-430,-457,55,194,115,74,33,1325,283,71,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,52,44,
汇兑收益(万元),,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,
营业利润(万元),17858,11269,5771,16911,13394,8966,4437,11106,7240,5479,1993,7844,6668,6974,
营业外收入(万元),892,651,152,1136,877,373,155,683,860,159,122,731,950,472,
营业外支出(万元),353,280,250,118,30,24,20,190,169,161,6,75,237,65,
非流动资产处置损失(万元),,,,,,6,,,,2,,,,48,
利润总额(万元),18396,11640,5674,17928,14241,9316,4572,11599,7931,5476,2109,8499,7381,7380,
所得税费用(万元),4040,2253,1459,4758,3804,2630,1266,3253,1965,1660,676,2879,2005,1642,
未确认投资损失(万元),,,,,,,,,,,,,,,
净利润(万元),14356,9388,4214,13170,10437,6686,3307,8346,5966,3816,1433,5621,5376,5739,
归属于母公司所有者的净利润(万元),14420,9428,4224,13216,10452,6696,3313,8369,5980,3824,1436,5603,5135,5739,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,47,243,4402,
少数股东损益(万元),-64,-41,-10,-45,-15,-10,-7,-23,-14,-8,-3,18,241,,
基本每股收益,0.95,0.62,0.28,1.01,0.83,0.59,0.29,0.73,0.52,0.33,0.13,0.5,0.4,,
稀释每股收益,0.95,0.62,0.28,1.01,0.83,0.59,0.29,0.73,0.52,0.33,0.13,0.5,0.4,,
