报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),240851,95125,53256,253713,201388,79126,44458,218921,169022,68719,38502,193606,152860,58140,173654,155528,46543,147416,132301,116599,
营业收入(万元),240851,95125,53256,253713,201388,79126,44458,218921,169022,68719,38502,193606,152860,58140,173654,155528,46543,147416,132301,116599,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),201391,88542,47978,209413,167009,72415,39618,178755,143196,63764,34916,158776,130297,54869,143410,126094,43578,119575,105886,97050,
营业成本(万元),109975,49672,28149,115044,90769,41355,23261,102565,77840,36576,20635,91103,68972,31689,82814,73105,25138,71858,64470,61476,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,
研发费用(万元),4314,2169,737,4847,2252,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),2192,513,329,2624,2007,449,300,2475,1907,428,338,3009,2040,1186,3869,3626,1293,3408,3270,2976,
销售费用(万元),63463,26240,13511,65791,55164,22806,11803,55062,47377,19525,10275,47488,44095,15361,41135,34216,11620,29642,24920,21073,
管理费用(万元),23365,11069,5253,23058,17170,9018,4499,20057,15843,7822,3715,17686,14051,6844,16084,15340,5671,14486,13434,11217,
财务费用(万元),-1918,-1122,-368,-2277,-1645,-1112,-524,-1540,-913,-473,-239,-862,-453,-282,-648,-488,-87,-213,-187,-10,
资产减值损失(万元),,,,326,1293,-101,280,136,1142,-115,193,352,1592,71,155,296,-57,394,-21,318,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,
投资收益(万元),528,459,369,1260,925,264,168,428,207,105,51,242,195,95,219,213,76,227,244,256,
对联营企业和合营企业的投资收益(万元),81,12,28,107,166,87,51,206,189,87,51,242,195,95,219,213,76,227,244,256,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,
营业利润(万元),39408,8417,5780,45958,35578,7107,5022,41411,26167,5195,3647,35072,22759,3366,30464,29648,3041,28068,26659,19805,
营业外收入(万元),53,29,26,753,393,376,2,249,236,89,4,771,529,356,868,162,88,1063,644,372,
营业外支出(万元),55,26,17,268,83,49,26,99,13,12,3,371,11,10,131,80,5,41,351,381,
非流动资产处置损失(万元),,,,,,,,,11,10,,149,7,7,41,49,4,38,40,39,
利润总额(万元),39407,8420,5789,46443,35888,7433,4998,41561,26390,5272,3648,35472,23277,3711,31202,29729,3124,29091,26952,19796,
所得税费用(万元),7005,2089,1288,8107,6055,1520,1084,7387,6438,1129,907,8894,5668,929,8043,7374,673,7054,6753,4969,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,
净利润(万元),32401,6331,4502,38336,29833,5912,3914,34174,19953,4143,2742,26578,17609,2783,23159,22355,2450,22037,20199,14827,
归属于母公司所有者的净利润(万元),32497,6430,4551,38391,29782,5835,3859,34037,19871,4107,2685,26672,17652,2857,23463,22504,2450,22037,20199,14827,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),-96,-100,-49,-55,51,77,55,137,82,36,56,-94,-44,-74,-305,-148,,,,,
基本每股收益,0.8,0.16,0.11,0.95,0.74,0.14,0.11,0.9,0.54,0.12,0.08,0.75,0.5,0.08,0.66,0.64,0.14,1.25,1.14,0.84,
稀释每股收益,0.8,0.16,0.11,0.95,0.74,0.14,0.11,0.9,0.54,0.12,0.08,0.75,0.5,0.08,0.66,0.64,0.14,1.25,1.14,0.84,
