报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),33974,22046,8598,36531,25797,18368,8672,31927,23992,8490,35554,17053,28410,19902,22305,24562,24207,
营业收入(万元),33974,22046,8598,36531,25797,18368,8672,31927,23992,8490,35554,17053,28410,19902,22305,24562,24207,
利息收入(万元),,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,
营业总成本(万元),22154,14258,5993,25179,17763,12426,5943,22539,16984,5689,24438,10925,20070,13298,15793,16488,17472,
营业成本(万元),16357,10638,4038,17217,12000,8353,3978,14585,11019,3532,14711,6483,11852,8399,9600,10500,10829,
利息支出(万元),,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,
研发费用(万元),1376,845,336,1443,1029,715,307,1289,888,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,
营业税金及附加(万元),309,183,79,374,304,233,128,430,326,68,473,253,407,237,269,259,325,
销售费用(万元),1921,1119,733,3240,2232,1589,788,2861,2234,891,4087,1689,2674,1607,2066,2179,2287,
管理费用(万元),2350,1600,821,2648,2036,1422,700,2765,2099,1063,4192,2010,4760,2867,3847,3488,3522,
财务费用(万元),-160,-127,-14,256,162,115,41,599,418,128,788,348,267,108,-24,119,267,
资产减值损失(万元),,,,,,,,9,,8,187,141,110,80,34,-58,242,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,
投资收益(万元),503,248,,,,,,,,,,,,,,11,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,
营业利润(万元),11744,7382,2485,11860,8387,6052,2699,10473,7884,3354,12285,6742,8340,6604,6512,8085,6734,
营业外收入(万元),8,4,2,14,9,7,3,28,24,13,31,4,735,536,396,828,438,
营业外支出(万元),358,350,341,200,202,190,0,32,27,20,82,30,825,769,1302,59,151,
非流动资产处置损失(万元),,,,,,,,,,,,0,413,363,1236,3,87,
利润总额(万元),11395,7036,2145,11673,8194,5869,2701,10469,7881,3347,12233,6716,8251,6372,5607,8854,7021,
所得税费用(万元),1649,1027,294,1685,1278,895,484,1330,1101,496,1727,997,1566,1231,761,1386,1227,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,
净利润(万元),9746,6008,1851,9988,6916,4974,2217,9139,6781,2851,10507,5719,6685,5141,4846,7468,5794,
归属于母公司所有者的净利润(万元),9746,6008,1851,9988,6916,4974,2217,9139,6781,2851,10507,5719,6685,5141,4846,7468,5794,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,
基本每股收益,0.49,0.46,0.16,0.89,0.62,0.44,0.2,0.81,0.6,0.25,0.93,0.51,0.59,0.46,0.43,0.66,0.52,
稀释每股收益,0.49,0.46,0.16,0.89,0.62,0.44,0.2,0.81,0.6,0.25,0.93,0.51,0.59,0.46,0.43,0.66,0.52,
