报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),54120,34881,17774,106974,80382,53632,25867,104244,76157,49606,24904,90106,65034,85423,61180,94661,106068,90845,
营业收入(万元),54120,34881,17774,106974,80382,53632,25867,104244,76157,49606,24904,90106,65034,85423,61180,94661,106068,90845,
利息收入(万元),,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,
营业总成本(万元),56190,36772,18326,101997,76149,50252,23892,96355,69410,44798,21902,79441,56638,76851,54132,81712,91513,80332,
营业成本(万元),49352,32380,15888,88175,65605,43208,20420,79718,58211,37483,18069,65382,46699,62885,45344,70487,78875,68606,
利息支出(万元),,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,
研发费用(万元),2041,1415,767,3851,2970,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),413,201,103,672,461,222,100,772,590,324,231,828,523,638,372,557,739,410,
销售费用(万元),1940,1317,659,3505,2609,1886,998,4119,2654,1857,916,3426,2229,2244,1552,2331,3264,3117,
管理费用(万元),1944,1166,549,2697,2094,3479,1740,7531,5104,3332,1668,6853,5241,7882,4420,6340,6318,5772,
财务费用(万元),501,293,90,1444,1252,627,346,2372,2022,1470,598,2105,1588,2585,2008,1712,1958,1812,
资产减值损失(万元),,,269,1653,1158,830,288,1844,829,331,420,847,358,618,436,286,358,615,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,
投资收益(万元),-469,-234,-184,750,903,671,690,1897,1510,1334,516,730,643,134,100,175,109,8,
对联营企业和合营企业的投资收益(万元),-875,-515,-272,-53,263,253,450,1757,1477,1319,509,692,615,11,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,
营业利润(万元),-4299,-3449,-719,6185,5572,4368,2946,10198,8257,6141,3530,11395,9038,8705,7148,13124,14665,10522,
营业外收入(万元),2,2,2,183,174,174,0,48,149,67,0,949,875,1164,1153,530,1657,827,
营业外支出(万元),1,1,0,16,16,16,6,23,22,18,7,30,19,31,26,43,212,29,
非流动资产处置损失(万元),,,,,,,,,22,18,,21,10,20,15,29,156,,
利润总额(万元),-4298,-3448,-718,6351,5730,4526,2941,10223,8384,6191,3522,12313,9894,9838,8275,13611,16110,11319,
所得税费用(万元),-347,-326,-34,727,921,684,375,1165,1112,787,502,1675,1596,1697,1343,2152,2348,1592,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,
净利润(万元),-3951,-3121,-683,5624,4810,3842,2566,9058,7272,5404,3021,10638,8299,8141,6932,11459,13762,9727,
归属于母公司所有者的净利润(万元),-3951,-3121,-683,5624,4810,3842,2566,9058,7272,5404,3021,10638,8299,8141,6932,11459,13762,9727,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,
基本每股收益,-0.31,-0.24,-0.05,0.44,0.38,0.3,0.2,0.87,0.76,0.56,0.31,1.11,0.86,0.85,0.72,1.19,1.33,0.92,
稀释每股收益,-0.31,-0.24,-0.05,0.44,0.38,0.3,0.2,0.87,0.76,0.56,0.31,1.11,0.86,0.85,0.72,1.19,1.33,0.92,
