报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),765805,479154,216287,760214,533680,323976,147747,568694,421431,272934,128739,459850,333916,214145,351867,363803,262814,171820,106598,43297,218108,165588,105784,165053,120318,97108,
营业收入(万元),765805,479154,216287,760214,533680,323976,147747,568694,421431,272934,128739,459850,333916,214145,351867,363803,262814,165772,102631,41536,218108,155651,105784,165053,120318,97108,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,6048,3966,1761,,9937,,,,,
营业总成本(万元),665642,425697,195940,689461,484429,294958,135378,525739,388112,247884,117870,434073,315281,204690,342194,346863,247674,159097,99843,42720,210327,155473,12400,148309,108502,87609,
营业成本(万元),569307,365127,165374,584380,412491,248924,111062,441301,327838,209890,98005,365441,267836,173628,279208,284917,197092,118396,74041,30104,173771,126769,,124180,92002,72019,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),37732,23050,10546,34666,25045,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,4558,2960,1282,,6984,,,,,
营业税金及附加(万元),5141,3469,1669,7148,4529,2666,832,5180,3795,2335,1160,3601,2026,1334,2307,1788,2062,391,212,-19,168,166,,168,298,206,
销售费用(万元),15498,9632,4836,15697,11379,7187,3429,11318,8100,4970,2385,8868,6187,4460,9869,7746,5493,4426,2396,1139,5453,2330,1500,3523,2258,1863,
管理费用(万元),33039,20156,9706,32544,47585,30569,15138,55211,37783,24411,12930,43273,29022,18297,40948,43123,35072,24881,16240,8582,26740,16875,9700,18124,12301,12112,
财务费用(万元),4926,4264,2708,5741,3416,3390,3146,10699,8585,5852,2389,9456,7891,5248,8659,7876,5933,5630,3348,1632,4200,2500,1200,1633,1370,-293,
资产减值损失(万元),,,1102,9285,5027,2222,1772,2030,2012,427,1000,3434,2319,1722,1204,1412,2022,816,646,,-5,-150,,682,273,1704,
公允价值变动收益(万元),,,,,,,,0,,,,,,,210,-210,,,,,,,,,,,
投资收益(万元),38,42,51,1150,895,461,,-22,-15,-11,,-21,-13,-13,-222,6,37,,,,,,,,,,
对联营企业和合营企业的投资收益(万元),-17,-12,,-22,-16,-12,,-22,-15,-11,,-21,-13,-13,-13,-21,-5,,,,,,,,,,
汇兑收益(万元),,,,,,,,0,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),101397,54644,21741,78388,53691,31639,13515,50115,33304,25039,10830,25756,18623,9442,9662,16735,15178,12723,6755,576,7782,10115,,16744,11816,9498,
营业外收入(万元),199,110,98,137,109,50,19,366,5389,3529,863,5418,4130,2913,7727,4106,3871,1735,1402,643,7491,3768,,780,1940,1037,
营业外支出(万元),1175,532,249,770,224,91,20,46,103,76,3,708,293,173,98,148,388,-19,-21,-25,119,95,,171,127,133,
非流动资产处置损失(万元),,,,,,,,,40,39,,703,289,171,61,70,136,1,,,115,6,,115,121,,
利润总额(万元),100421,54222,21590,77754,53576,31598,13513,50436,38590,28491,11690,30466,22460,12182,17291,20694,18661,14476,8178,1244,15153,13787,10700,17353,13629,10402,
所得税费用(万元),13647,7088,2934,7923,6201,3447,1777,5554,4647,3264,1531,3019,1798,791,1537,2163,2060,2189,1237,193,1180,2062,,2187,2059,1622,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),86774,47133,18655,69832,47375,28151,11737,44882,33943,25227,10159,27446,20662,11391,15754,18530,16601,12287,6940,1051,13974,11725,9100,15166,11570,8780,
归属于母公司所有者的净利润(万元),86737,47104,18677,69725,47293,28035,11706,44808,33881,25187,10168,27416,20661,11388,16169,19072,16840,12287,6940,1051,13974,11725,9100,15166,11570,8780,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),37,29,-22,106,82,116,30,73,62,40,-9,30,1,4,-415,-542,-239,,,,,,,,,,
基本每股收益,2.58,1.4,0.67,2.49,1.69,1,0.42,2.13,1.61,1.2,0.48,1.31,0.98,0.54,0.77,0.91,0.8,,,,,,,,,,
稀释每股收益,2.57,1.4,0.67,2.49,1.69,1,0.42,2.13,1.61,1.2,0.48,1.31,0.98,0.54,0.77,0.91,0.8,,,,,,,,,,
