报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,
营业总收入(万元),712031,484143,,773720,522900,341941,178695,689864,700999,
营业收入(万元),,,,,,,,,,
利息收入(万元),1061124,708476,,1484174,443500,681081,365202,1350938,1158956,
已赚保费(万元),,,,,,,,,,
手续费及佣金收入(万元),91780,62392,,99562,,41091,22571,93720,107504,
房地产销售收入(万元),,,,,,,,,,
其他业务收入(万元),5696,4572,,8803,,4033,3888,3276,8427,
营业总成本(万元),437546,293961,,506545,322100,205205,106192,417215,460952,
营业成本(万元),,,,,,,,,,
利息支出(万元),617632,408736,,825027,,389875,213018,757127,569144,
手续费及佣金支出(万元),4386,3329,,8067,,2701,1432,5379,4658,
房地产销售成本(万元),,,,,,,,,,
研发费用(万元),,,,,,,,,,
退保金(万元),,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,
保单红利支出(万元),,,,,,,,,,
分保费用(万元),,,,,,,,,,
其他业务成本(万元),4623,3832,,5225,,3398,3178,1912,7558,
营业税金及附加(万元),7484,4837,,9564,,4473,2842,6765,22124,
销售费用(万元),201893,136287,,286720,,112974,,260529,244091,
管理费用(万元),,,,,,,,,,
财务费用(万元),,,,,,,,,,
资产减值损失(万元),-1,-0,,205036,132200,84359,41710,148009,187179,
公允价值变动收益(万元),15956,13730,,24779,,37272,6605,-28439,3712,
投资收益(万元),154102,103149,,13410,,10327,3173,16161,1906,
对联营企业和合营企业的投资收益(万元),8235,5301,,5463,,2964,415,5163,2923,
汇兑收益(万元),2635,1910,,-28687,,-39893,-8408,12917,-5704,
期货损益(万元),,,,,,,,,,
托管收益(万元),,,,,,,,,,
补贴收入(万元),,,,,,,,,,
其他业务利润(万元),,,,,,,,,,
营业利润(万元),274485,190183,,267175,200800,136736,72503,272650,240048,
营业外收入(万元),202,191,,5020,,4430,4418,1225,7748,
营业外支出(万元),1062,927,,836,,98,62,1960,968,
非流动资产处置损失(万元),,,,,,,,,,
利润总额(万元),273624,189446,,271359,204700,141067,76859,271915,246827,
所得税费用(万元),56532,38429,,39915,,16421,11152,56896,48084,
未确认投资损失(万元),,,,,,,,,,
净利润(万元),217092,151017,,231444,,124646,65707,215019,198743,
归属于母公司所有者的净利润(万元),205754,142986,67954,224196,178200,124646,64675,210980,194953,
被合并方在合并前实现净利润(万元),,,,,,,,,,
少数股东损益(万元),11338,8032,,7247,,,1033,4039,3790,
基本每股收益,0.67,0.48,,0.75,,,0.22,0.7,0.65,
稀释每股收益,0.67,0.48,,0.75,,,0.22,0.7,,
