报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),10930,7328,3780,17431,13055,9105,4622,18747,13273,9041,4496,15634,11050,14234,13370,14052,
营业收入(万元),10930,7328,3780,17431,13055,9105,4622,18747,13273,9041,4496,15634,11050,14234,13370,14052,
利息收入(万元),,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,
营业总成本(万元),9621,6404,3349,14633,10885,7380,3626,14601,10365,7055,3598,12108,8593,10236,9192,9911,
营业成本(万元),6475,4250,2175,10030,7346,5005,2426,10069,7143,4818,2452,8084,5601,6660,6004,6641,
利息支出(万元),,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,
研发费用(万元),619,417,222,880,660,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,
营业税金及附加(万元),211,140,78,312,236,159,79,337,238,165,81,242,162,189,181,178,
销售费用(万元),370,248,144,647,506,377,233,637,453,343,192,611,437,609,518,567,
管理费用(万元),2070,1409,700,2918,2226,1852,869,3348,2438,1627,839,3200,2371,2623,2311,2341,
财务费用(万元),-124,-61,2,-85,-81,-36,13,27,26,4,-0,-34,-17,53,107,101,
资产减值损失(万元),,,29,-70,-7,23,5,183,65,97,34,6,38,102,71,83,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,
投资收益(万元),335,212,128,71,,,,,,,,,,17,15,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,
营业利润(万元),1586,1121,568,2966,2198,1748,1003,4191,2909,1987,898,3526,2457,4015,4193,4141,
营业外收入(万元),1,1,1,622,620,620,520,4,39,7,,76,34,61,28,159,
营业外支出(万元),18,8,3,65,58,18,15,6,3,3,2,30,30,28,46,16,
非流动资产处置损失(万元),,,,,,,,,,,,2,2,6,0,,
利润总额(万元),1569,1113,566,3523,2760,2351,1508,4190,2945,1991,896,3571,2461,4048,4175,4285,
所得税费用(万元),207,151,80,502,415,372,239,663,451,317,145,553,389,634,664,707,
未确认投资损失(万元),,,,,,,,,,,,,,,,,
净利润(万元),1362,962,485,3021,2345,1978,1268,3527,2494,1674,751,3018,2072,3414,3511,3578,
归属于母公司所有者的净利润(万元),1362,962,485,3021,2345,1978,1268,3527,2494,1674,751,3018,2072,3414,3511,3578,
被合并方在合并前实现净利润(万元),,,,,,,,-193,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,
基本每股收益,0.13,0.09,0.05,0.28,0.22,0.19,0.12,0.44,0.31,0.21,0.09,0.38,0.26,0.53,0.56,0.57,
稀释每股收益,0.13,0.09,0.05,0.28,0.22,0.19,0.12,0.44,0.31,0.21,0.09,0.38,0.26,0.53,0.56,0.57,
