报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),28065,17837,7035,27556,19927,13572,7091,25033,18723,12691,3980,21913,11213,16929,14957,10918,
营业收入(万元),28065,17837,7035,27556,19927,13572,7091,25033,18723,12691,3980,21913,11213,16929,14957,10918,
利息收入(万元),,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,
营业总成本(万元),18786,11867,5561,21764,14123,9544,4729,16466,11519,7671,3324,14583,7460,13081,10409,7795,
营业成本(万元),9253,5527,2230,7602,5229,3411,1623,6624,5016,3421,1554,8021,4603,5531,6147,4547,
利息支出(万元),,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,
研发费用(万元),3054,1995,928,4717,2633,,,,2142,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,
营业税金及附加(万元),345,242,109,414,308,188,100,399,305,216,49,236,92,289,163,118,
销售费用(万元),3627,2395,1088,5491,3447,2069,895,3732,2171,1356,605,2457,1029,2037,1786,1410,
管理费用(万元),2619,1735,878,3505,2554,3658,1957,5289,1497,2249,1110,3837,1613,5275,2205,1654,
财务费用(万元),-113,-27,39,-154,-151,-71,41,83,47,23,-0,-60,-13,-20,107,-37,
资产减值损失(万元),,,,190,103,291,114,339,339,405,7,92,135,-30,0,101,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,
投资收益(万元),888,683,382,1188,894,442,81,169,110,96,54,166,100,114,68,26,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,
营业利润(万元),10716,6484,1963,8629,7313,4814,2574,10300,8254,5316,710,7496,3852,3962,4616,3149,
营业外收入(万元),0,0,0,0,0,0,,1,0,62,0,1769,1018,1808,542,772,
营业外支出(万元),0,,,1,1,,,0,0,,,5,4,,3,22,
非流动资产处置损失(万元),,,,,,,,,,,,0,,,0,,
利润总额(万元),10716,6484,1963,8628,7312,4814,2574,10300,8255,5378,710,9261,4866,5770,5156,3898,
所得税费用(万元),1050,622,118,146,439,378,286,1200,1020,648,123,1116,572,956,704,-46,
未确认投资损失(万元),,,,,,,,,,,,,,,,,
净利润(万元),9667,5862,1846,8482,6873,4436,2288,9100,7234,4730,587,8145,4294,4814,4452,3944,
归属于母公司所有者的净利润(万元),9679,5872,1841,8495,6873,4443,2288,9093,7215,4719,578,8134,4286,4818,4456,3944,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,-3,-11,
少数股东损益(万元),-13,-10,5,-13,0,-6,-0,7,19,11,9,11,8,-4,-4,,
基本每股收益,0.74,0.45,0.14,0.66,0.54,0.35,0.27,1.3,0.73,0.67,0.08,1.17,1.29,0.78,,3.94,
稀释每股收益,0.74,0.45,0.14,0.66,0.54,0.35,0.27,1.3,0.73,0.67,0.08,1.17,1.29,0.78,,3.94,
