报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),121159,81486,36479,157576,105566,72853,33504,135232,120813,119123,107551,97374,81491,61318,
营业收入(万元),121159,81486,36479,157576,105566,72853,33504,135232,120813,119123,107551,97374,81491,61318,
利息收入(万元),,,,,,,,,,,,,,,
已赚保费(万元),,0,,,,0,,,,,,,,,
手续费及佣金收入(万元),,0,,,,0,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,
营业总成本(万元),83972,55034,22388,115650,79192,50827,21847,100402,94774,87745,76937,72393,60212,41366,
营业成本(万元),38834,25732,12259,49896,33568,22742,11293,42901,39058,37338,27016,23177,20656,13243,
利息支出(万元),,0,,,,0,,,,,,,,,
手续费及佣金支出(万元),,0,,,,0,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,
研发费用(万元),2788,1803,874,3382,2492,1692,830,,,,,,,,
退保金(万元),,0,,,,0,,,,,,,,,
赔付支出净额(万元),,0,,,,0,,,,,,,,,
提取保险合同准备金净额(万元),,0,,,,0,,,,,,,,,
保单红利支出(万元),,0,,,,0,,,,,,,,,
分保费用(万元),,0,,,,0,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,
营业税金及附加(万元),1284,974,469,2090,1469,1064,471,1727,1826,1548,1432,1308,1114,957,
销售费用(万元),36569,23810,7487,53459,36949,21901,7850,46695,47228,41975,40486,42349,34597,24034,
管理费用(万元),6266,3674,1525,7254,5190,3560,1274,9618,8125,8433,8719,6088,4189,3253,
财务费用(万元),-1769,-959,-240,-743,-476,-132,-68,-1229,-1635,-1553,-714,-540,-356,-107,
资产减值损失(万元),,,13,312,,,198,690,173,4,-2,12,11,-13,
公允价值变动收益(万元),848,149,,,,0,,,,,,,,,
投资收益(万元),1347,1198,163,2512,1257,1094,,1237,,,,,,193,
对联营企业和合营企业的投资收益(万元),,0,,,,0,,,,,,,,,
汇兑收益(万元),,0,,,,0,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,
营业利润(万元),42728,30824,14257,48417,27808,23348,11660,36605,26038,31378,30614,24980,21280,20145,
营业外收入(万元),218,5,5,238,217,104,5,83,1380,1815,1328,1179,842,2,
营业外支出(万元),79,59,20,26,2,1,1,594,67,187,64,327,58,162,
非流动资产处置损失(万元),,,,,,,,,7,12,1,237,0,1,
利润总额(万元),42867,30770,14242,48630,28022,23451,11664,36095,27351,33006,31878,25832,22064,19985,
所得税费用(万元),7165,5299,2245,7426,4701,3966,2068,5473,4132,4862,4740,3970,3378,3259,
未确认投资损失(万元),,,,,,,,,,,,,,,
净利润(万元),35703,25471,11996,41204,23321,19484,9596,30622,23219,28143,27137,21861,18686,16726,
归属于母公司所有者的净利润(万元),35909,25635,12021,41528,23584,19484,9596,30622,23219,28143,27137,21861,18688,16726,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,
少数股东损益(万元),-207,-164,-25,-324,-263,0,0,,,,,,-2,,
基本每股收益,0.97,0.71,0.33,1.15,0.66,0.54,0.27,0.85,0.64,0.78,0.75,1.21,1.04,,
稀释每股收益,0.97,0.71,0.33,1.15,0.66,0.54,0.27,0.85,0.64,0.78,0.75,1.21,1.04,,
