报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
营业总收入(万元),58886,33734,55298,39827,25232,48255,43130,37125,
营业收入(万元),58886,33734,55298,39827,25232,48255,43130,37125,
利息收入(万元),,,,,,,,,
已赚保费(万元),,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,
房地产销售收入(万元),,,,,,,,,
其他业务收入(万元),,,,,,,,,
营业总成本(万元),40614,23325,42216,30366,19696,38868,36540,30078,
营业成本(万元),30185,17451,30737,22016,14109,28545,25083,22008,
利息支出(万元),,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,
房地产销售成本(万元),,,,,,,,,
研发费用(万元),2291,1319,2233,1605,1024,1886,1679,1483,
退保金(万元),,,,,,,,,
赔付支出净额(万元),,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,
保单红利支出(万元),,,,,,,,,
分保费用(万元),,,,,,,,,
其他业务成本(万元),,,,,,,,,
营业税金及附加(万元),355,228,526,358,274,554,561,497,
销售费用(万元),3555,2050,4656,3492,2218,4216,3681,3260,
管理费用(万元),3675,2253,4027,2837,1965,3614,5315,2793,
财务费用(万元),553,23,36,58,106,-91,397,-158,
资产减值损失(万元),,,,,,144,-176,194,
公允价值变动收益(万元),27,,,,,,,,
投资收益(万元),77,46,77,26,23,-1,46,16,
对联营企业和合营企业的投资收益(万元),,,,,,,,,
汇兑收益(万元),,,,,,,,,
期货损益(万元),,,,,,,,,
托管收益(万元),,,,,,,,,
补贴收入(万元),,,,,,,,,
其他业务利润(万元),,,,,,,,,
营业利润(万元),18402,10467,13240,9569,5627,9657,6715,7063,
营业外收入(万元),130,0,36,2,2,355,18,159,
营业外支出(万元),80,73,80,76,38,98,88,179,
非流动资产处置损失(万元),,,,,,,,,
利润总额(万元),18453,10394,13195,9495,5591,9915,6645,7042,
所得税费用(万元),2556,1440,1836,1293,764,1347,1197,990,
未确认投资损失(万元),,,,,,,,,
净利润(万元),15897,8954,11359,8202,4827,8567,5449,6052,
归属于母公司所有者的净利润(万元),15897,8954,11359,8202,4827,8567,5449,6052,
被合并方在合并前实现净利润(万元),,,,,,,,,
少数股东损益(万元),,,,,,,,,
基本每股收益,2.65,1.49,1.89,1.37,0.8,1.43,0.91,,
稀释每股收益,2.65,1.49,1.89,1.37,0.8,1.43,0.91,,
