报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),369021,249631,131304,567941,421349,276510,129748,278521,255997,199398,158839,91523,61708,
营业收入(万元),369021,249631,131304,567941,421349,276510,129748,278521,255997,199398,158839,91523,61708,
利息收入(万元),,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,
营业总成本(万元),299013,207325,112151,493692,364565,241770,115105,233581,228152,167700,141473,109187,78116,
营业成本(万元),202666,137913,73298,313232,230402,151678,73309,124221,71099,50176,69743,44885,20667,
利息支出(万元),,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,
研发费用(万元),19795,14491,6348,27341,18679,14029,5950,19371,13566,,,,,
退保金(万元),,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,
营业税金及附加(万元),1120,652,177,1822,1108,528,78,2015,3777,3593,3163,990,1212,
销售费用(万元),53968,38505,22587,115504,87538,58556,25881,67067,48475,34263,36877,39334,43363,
管理费用(万元),20736,13955,7321,25232,18513,11909,7472,19333,21633,22983,23873,21613,10409,
财务费用(万元),728,1808,2340,10629,8326,5070,2332,2778,16811,14483,1811,2125,2069,
资产减值损失(万元),,,80,-68,,,82,-1205,52790,42202,6006,239,397,
公允价值变动收益(万元),,,,,,,,,,,,,,
投资收益(万元),-748,-569,-223,-2735,-974,-643,-565,428,-882,-1099,-88,-29,75,
对联营企业和合营企业的投资收益(万元),-986,-807,,-2764,-1047,-716,,-302,-1702,,,,,
汇兑收益(万元),,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,
营业利润(万元),69396,41729,18931,71683,55962,34269,14491,45141,24337,30600,17277,-17693,-16333,
营业外收入(万元),2385,537,153,2674,2535,1864,2,1975,1229,487,1992,2336,3334,
营业外支出(万元),134,72,4,566,211,210,6,305,174,263,671,4330,540,
非流动资产处置损失(万元),,,,,,,,,,,,,,
利润总额(万元),71647,42194,19080,73791,58286,35923,14487,46810,25391,30824,18598,-19687,-13539,
所得税费用(万元),9188,4870,2737,13153,9354,6545,2173,381,-7249,9652,6242,8,-858,
未确认投资损失(万元),,,,,,,,,,,,,,
净利润(万元),62460,37324,16343,60638,48932,29379,12314,46429,32641,21172,12356,-19695,-12681,
归属于母公司所有者的净利润(万元),61613,36625,15993,59949,48544,29228,12281,46964,33501,21719,12453,-19632,-12675,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,
少数股东损益(万元),847,699,350,689,388,150,33,-535,-861,-547,-97,-62,-6,
基本每股收益,1.61,0.98,0.44,1.67,1.35,0.81,0.34,1.3,0.93,0.6,0.35,-0.81,-0.54,
稀释每股收益,1.61,0.98,,1.67,1.35,0.81,,1.3,0.93,0.6,0.35,-0.81,-0.54,
