报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
营业总收入(万元),65323,39446,84461,63167,42367,83695,80251,60299,
营业收入(万元),65323,39446,84461,63167,42367,83695,80251,60299,
利息收入(万元),,,,,,,,,
已赚保费(万元),,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,
房地产销售收入(万元),,,,,,,,,
其他业务收入(万元),,,,,,,,,
营业总成本(万元),55628,32560,71093,53092,35060,72811,68412,51842,
营业成本(万元),45467,27224,60026,44809,29875,59774,57578,42410,
利息支出(万元),,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,
房地产销售成本(万元),,,,,,,,,
研发费用(万元),3391,2237,4121,3181,2284,4089,4125,3877,
退保金(万元),,,,,,,,,
赔付支出净额(万元),,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,
保单红利支出(万元),,,,,,,,,
分保费用(万元),,,,,,,,,
其他业务成本(万元),,,,,,,,,
营业税金及附加(万元),469,306,539,410,285,709,595,430,
销售费用(万元),1620,978,1885,1488,914,1858,1515,1191,
管理费用(万元),4574,2084,5464,3965,2310,6110,4592,3514,
财务费用(万元),106,-269,-942,-762,-608,-167,-117,-166,
资产减值损失(万元),,,,,,438,123,587,
公允价值变动收益(万元),66,,,,,,,,
投资收益(万元),33,33,,,,544,87,418,
对联营企业和合营企业的投资收益(万元),,,,,,,,,
汇兑收益(万元),,,,,,,,,
期货损益(万元),,,,,,,,,
托管收益(万元),,,,,,,,,
补贴收入(万元),,,,,,,,,
其他业务利润(万元),,,,,,,,,
营业利润(万元),9491,6772,13149,9791,7033,11536,12085,8885,
营业外收入(万元),102,90,849,180,144,773,1,82,
营业外支出(万元),2,2,,,,1,352,63,
非流动资产处置损失(万元),,,,,,,,,
利润总额(万元),9591,6860,13998,9971,7177,12308,11734,8904,
所得税费用(万元),1082,775,1597,1101,827,1642,1473,1154,
未确认投资损失(万元),,,,,,,,,
净利润(万元),8509,6085,12401,8870,6351,10666,10260,7750,
归属于母公司所有者的净利润(万元),8509,6085,12401,8870,6351,10087,9851,7453,
被合并方在合并前实现净利润(万元),,,,,,5119,4357,2957,
少数股东损益(万元),,,,,,579,409,296,
基本每股收益,0.79,0.57,1.16,0.83,0.59,1.02,,,
稀释每股收益,0.79,0.57,1.16,0.83,0.59,1.02,,,
