报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),25429,17048,8367,30517,23078,15838,7931,30125,23715,15749,8286,28223,22292,14160,7304,26893,29205,27853,25831,
营业收入(万元),25429,17048,8367,30517,23078,15838,7931,30125,23715,15749,8286,28223,22292,14160,7304,26893,29205,27853,25831,
利息收入(万元),,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,
营业总成本(万元),20089,13892,6971,27776,20855,14113,7118,25304,19468,12555,6329,20582,15863,9942,5133,19651,21662,20443,18638,
营业成本(万元),15519,10738,5490,22501,17062,11606,5753,19906,15298,9970,5128,16344,12856,8147,4220,15730,17974,16839,15583,
利息支出(万元),,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,
研发费用(万元),1534,971,422,2178,1555,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),300,191,90,227,146,103,49,307,232,141,66,336,258,105,72,358,292,220,213,
销售费用(万元),1614,1082,510,1453,994,608,344,1580,1089,650,327,1312,893,555,236,1110,1433,1179,1174,
管理费用(万元),1275,899,352,1527,1191,1747,793,3313,2465,1570,658,2715,1753,1102,467,2564,1989,1928,1663,
财务费用(万元),-152,11,95,-184,-184,-76,101,216,172,62,15,-138,-73,-53,9,-153,-71,52,-24,
资产减值损失(万元),,,12,74,91,125,78,-18,211,162,134,12,176,87,130,41,46,225,27,
公允价值变动收益(万元),736,550,,,,,,,,,,,,,,,,,,
投资收益(万元),375,202,377,1558,1179,741,394,817,567,281,69,250,171,109,45,140,371,189,136,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,
营业利润(万元),6564,4009,1869,4546,3585,2526,1261,5800,4814,3475,2025,7890,6599,4327,2216,7383,7914,7599,7329,
营业外收入(万元),0,0,,,,,,0,112,13,3,172,131,72,0,335,72,56,26,
营业外支出(万元),0,0,0,1,0,0,0,0,0,,,1,1,0,,1,1,1,37,
非流动资产处置损失(万元),,,,,,,,,,,,0,0,0,,0,0,0,2,
利润总额(万元),6564,4009,1869,4545,3585,2526,1261,5800,4926,3488,2028,8061,6730,4399,2216,7716,7985,7654,7319,
所得税费用(万元),1000,574,252,463,447,358,176,742,710,502,284,1235,1071,690,310,982,1133,1112,1073,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,
净利润(万元),5563,3435,1617,4082,3138,2168,1084,5057,4216,2985,1745,6826,5659,3709,1906,6734,6852,6542,6246,
归属于母公司所有者的净利润(万元),5563,3435,1617,4082,3138,2168,1084,5057,4216,2985,1745,6826,5659,3709,1906,6734,6852,6542,6246,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,
基本每股收益,0.56,0.34,0.16,0.41,0.31,0.22,0.11,0.54,0.46,0.34,0.2,0.91,0.75,0.49,0.25,0.9,0.91,0.87,0.83,
稀释每股收益,0.56,0.34,0.16,0.41,0.31,0.22,0.11,0.54,0.46,0.34,0.2,0.91,0.75,0.49,0.25,0.9,0.91,0.87,0.83,
