报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),96697,59236,29520,116343,89235,62186,30512,95815,70355,47450,23070,76369,56131,36356,15990,57974,43582,27617,13392,51073,37519,11433,44284,36032,29137,
营业收入(万元),96697,59236,29520,116343,89235,62186,30512,95815,70355,47450,23070,76369,56131,36356,15990,57974,43582,27617,13392,51073,37519,11433,44284,36032,29137,
利息收入(万元),,,,,0,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,0,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,0,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),70716,45671,24258,93158,69360,47148,23387,77022,55246,36611,17239,57714,42065,27268,11811,47017,35684,22836,11178,45080,32750,10054,39626,32021,25515,
营业成本(万元),55634,35621,19076,73002,54383,37505,18576,59216,43104,28591,13687,43721,32061,21122,8977,37408,29126,18649,9333,37127,27153,8431,32806,26730,20911,
利息支出(万元),,,,,0,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,0,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),4269,2400,1128,5288,4482,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,0,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,0,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,0,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,0,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,0,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),961,578,205,1238,971,644,304,918,680,439,177,710,394,250,138,218,164,133,30,127,96,16,143,91,98,
销售费用(万元),1699,1136,387,2530,1900,1218,427,1828,1125,814,284,1832,1342,890,363,1549,1102,733,267,1585,1092,276,1221,992,978,
管理费用(万元),7073,4897,2131,8995,6671,7000,2933,12869,8427,5693,2722,11617,7827,4564,2046,6652,4494,2881,1289,5258,3759,1068,4272,3270,2965,
财务费用(万元),1079,1038,820,1031,475,577,826,2241,1699,931,394,-224,258,164,244,663,524,339,192,941,557,214,1159,776,648,
资产减值损失(万元),,,511,1074,478,204,321,-50,211,143,-24,58,183,278,43,526,275,101,67,43,93,48,24,162,-84,
公允价值变动收益(万元),,,,-11,-11,-11,-11,11,,,,,,,,,,,,,,,1,0,-6,
投资收益(万元),-309,-309,,-262,234,227,35,788,452,352,73,200,105,96,,33,33,33,,91,91,,89,78,65,
对联营企业和合营企业的投资收益(万元),-350,,,-645,0,,,,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,0,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),25545,13159,5389,23116,20164,15299,7171,19759,15561,11192,5903,18854,14172,9184,4179,10990,7931,4814,2214,6083,4861,1379,4748,4090,3681,
营业外收入(万元),1652,1632,1048,210,312,212,108,830,718,494,20,2004,1548,1290,247,602,334,228,172,457,436,168,648,670,808,
营业外支出(万元),1013,934,22,619,319,124,33,483,155,57,42,495,166,144,34,434,457,115,39,180,62,20,104,86,262,
非流动资产处置损失(万元),,,,,,,,,99,24,14,440,123,103,5,214,108,66,6,33,11,,24,37,52,
利润总额(万元),26184,13856,6415,22708,20156,15387,7246,20105,16124,11629,5881,20363,15554,10331,4392,11158,7809,4926,2347,6360,5234,1527,5293,4674,4227,
所得税费用(万元),4223,2194,1054,3471,2827,2179,1080,2658,2335,1587,823,3111,2415,1689,705,1798,1373,850,385,1016,879,228,785,666,642,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),21961,11662,5361,19236,17330,13208,6166,17448,13789,10042,5058,17252,13139,8642,3688,9360,6435,4076,1962,5344,4355,1299,4507,4008,3585,
归属于母公司所有者的净利润(万元),21603,11420,5342,19472,17270,13200,6179,17755,13945,10111,5075,17391,13170,8642,3688,9360,6435,4076,1962,5344,4355,1299,4507,4008,3585,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),358,243,19,-236,60,8,-13,-307,-156,-69,-17,-139,-31,,,,,,,,,,,,,
基本每股收益,0.81,0.44,0.24,0.88,0.78,0.6,0.56,1.63,1.28,0.93,0.47,1.61,1.2,1.2,0.51,1.73,1.19,0.75,0.36,0.99,0.81,0.24,0.83,0.78,,
稀释每股收益,0.76,0.41,0.24,0.88,0.77,0.59,0.55,1.58,1.24,0.9,0.45,1.58,1.2,1.2,0.51,1.73,1.19,0.75,0.36,0.99,0.81,0.24,0.83,0.78,,
