报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),133201,80561,38980,126485,98629,67812,28286,153530,119551,73949,29346,121875,94550,66516,28426,132833,98161,69273,28938,150013,60881,51813,43088,40225,43313,
营业收入(万元),133201,80561,38980,126485,98629,67812,28286,153530,119551,73949,29346,121875,94550,66516,28426,132833,98161,69273,28938,150013,60881,51813,43088,40225,43313,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),121780,74395,41245,123689,91722,63164,29281,142909,107278,65172,27033,100346,77221,53179,22578,106265,77132,52687,22078,108759,53299,46201,35702,31665,31579,
营业成本(万元),96055,56847,28863,91286,70028,46877,21265,107498,84178,50621,19950,73953,57758,40212,17133,80326,58436,40688,17293,84667,37621,33715,27497,23226,24178,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),9723,6815,3612,11556,8190,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),726,688,251,920,415,326,198,1175,793,496,274,1277,802,591,351,1403,932,531,316,1409,592,441,388,319,202,
销售费用(万元),10178,6818,2938,11565,7846,5148,2110,11965,6474,4144,2143,7871,5648,3594,1656,9546,7111,4112,1858,8842,5861,4765,2765,3013,4172,
管理费用(万元),7906,4668,3104,10186,8197,11373,5517,20797,16205,10183,4485,17629,14074,9547,3445,14401,9948,6727,3092,12758,8243,7289,5052,5209,2991,
财务费用(万元),-2809,-1441,1596,-2943,-3342,-1335,-41,-1799,-2018,-1438,-409,-1676,-1364,-703,-114,-1978,-1454,-1023,-573,-67,-80,-351,-76,-54,-231,
资产减值损失(万元),,,881,1119,389,776,231,3273,1646,1166,589,1292,303,-63,108,2566,2158,1651,92,1149,1062,343,76,-49,268,
公允价值变动收益(万元),9,,-57,-9,0,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),1132,949,246,244,624,624,,878,699,699,600,601,554,344,209,97,42,,,2,-2,,17,,,
对联营企业和合营企业的投资收益(万元),,,,,0,,,,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,0,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),11633,6100,-1791,6744,8264,5428,-980,13710,12973,9476,2913,22129,17883,13680,6056,26664,21071,16586,6861,41256,7579,5611,7402,8560,11734,
营业外收入(万元),114,68,88,373,975,151,48,393,2207,1927,326,3006,1247,424,52,3142,451,289,245,350,621,1043,1379,1215,262,
营业外支出(万元),264,239,118,738,729,587,48,395,315,241,111,420,364,195,27,395,271,21,21,350,264,74,105,997,33,
非流动资产处置损失(万元),,,,,,,,,24,24,24,64,63,25,9,63,0,0,0,9,91,18,19,,,
利润总额(万元),11483,5930,-1821,6379,8511,4993,-980,13708,14864,11162,3128,24715,18767,13909,6081,29412,21252,16854,7085,41256,7936,6581,8676,8778,11964,
所得税费用(万元),2040,619,-21,1297,2031,936,66,2403,2297,1722,636,3809,3133,2195,959,4570,3179,2390,1048,5844,1120,1269,1397,1634,1835,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),9443,5310,-1800,5082,6480,4057,-1047,11305,12567,9440,2492,20906,15634,11714,5122,24842,18073,14464,6037,35412,6816,5312,7279,7144,10129,
归属于母公司所有者的净利润(万元),9104,5107,-1815,4442,6041,4013,-998,11054,12295,9391,2492,20906,15634,11714,5122,24842,18073,14464,6037,35412,6816,5312,7279,7180,10133,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),339,203,15,640,439,43,-49,251,272,50,,,,,,,,,,,,,,-37,-4,
基本每股收益,0.28,0.15,-0.08,0.2,0.26,0.18,-0.04,0.49,0.54,0.42,0.11,0.96,0.69,0.52,0.34,2.07,1.51,0.8,0.5,2.95,0.57,0.44,0.81,0.88,1.3,
稀释每股收益,0.28,0.15,-0.08,0.2,0.26,0.18,-0.04,0.49,0.54,0.42,0.11,0.96,0.69,0.52,0.34,2.07,1.51,0.8,0.5,2.95,0.57,0.44,0.81,0.88,1.3,
