报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),66610,38428,77254,54224,32835,71579,36130,50376,35207,21592,42212,30559,22680,
营业收入(万元),66610,38428,77254,54224,32835,71579,36130,50376,35207,21592,42212,30559,22680,
利息收入(万元),,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,
营业总成本(万元),55185,32237,67097,47379,28641,55323,26601,44510,30076,18891,38413,28927,20581,
营业成本(万元),50337,29069,61241,43764,26384,48942,23966,37938,27168,16841,34475,25506,18857,
利息支出(万元),,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,
研发费用(万元),2910,1997,3450,1940,1127,3284,1201,,,,,,,
退保金(万元),,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,
营业税金及附加(万元),283,139,175,142,66,392,241,257,180,100,90,65,55,
销售费用(万元),924,526,1158,777,485,1361,639,959,526,378,611,510,320,
管理费用(万元),1090,770,1516,1052,806,1528,632,5338,2216,1666,2823,2737,1184,
财务费用(万元),-359,-263,-443,-296,-227,-185,-62,-20,-6,-14,-55,-23,89,
资产减值损失(万元),,,,,,,-17,37,-8,-79,470,132,76,
公允价值变动收益(万元),,,,,,,,,,,,,,
投资收益(万元),,,,,,,,11,20,11,7,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,
营业利润(万元),11510,6227,11057,7090,4228,16246,9553,6372,5151,2712,3805,1633,2098,
营业外收入(万元),6,1,4,4,4,8,5,4,461,361,188,227,148,
营业外支出(万元),14,0,12,11,0,25,13,16,15,10,10,30,12,
非流动资产处置损失(万元),,,,,,,,,,0,0,0,,
利润总额(万元),11502,6228,11049,7083,4232,16229,9544,6360,5596,3062,3983,1830,2235,
所得税费用(万元),1407,694,1228,821,488,2087,1351,1132,843,388,491,354,289,
未确认投资损失(万元),,,,,,,,,,,,,,
净利润(万元),10095,5534,9821,6262,3743,14142,8194,5228,4754,2675,3492,1477,1946,
归属于母公司所有者的净利润(万元),10095,5534,9821,6262,3743,14142,8194,5228,4754,2675,3492,1477,1946,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,
基本每股收益,1.33,0.73,1.29,0.83,0.49,1.86,1.08,2.23,2.07,1.2,1.66,0.81,1.13,
稀释每股收益,1.33,,1.29,0.83,0.49,1.86,,,,,,0.81,1.13,
