报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),31124,20420,10681,41942,28175,19767,9152,44523,32732,24119,32531,34914,33147,
营业收入(万元),31124,20420,10681,41942,28175,19767,9152,44523,32732,24119,32531,34914,33147,
利息收入(万元),,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,
营业总成本(万元),24040,16166,8890,32973,22022,15107,7883,33437,24209,18686,25631,26190,24580,
营业成本(万元),19460,13221,7178,26258,17259,11881,6146,27689,20659,16112,20206,18508,18481,
利息支出(万元),,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,
研发费用(万元),,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,
营业税金及附加(万元),317,237,39,339,156,135,18,418,235,202,451,656,637,
销售费用(万元),3027,1951,964,4363,2983,1858,914,3495,2482,1655,3322,3241,3440,
管理费用(万元),1271,778,480,1706,1098,624,367,1615,796,532,1679,3933,1381,
财务费用(万元),-35,-20,-5,-29,-24,-6,-2,-11,-8,-5,-31,-3,634,
资产减值损失(万元),,,234,336,549,615,441,230,45,191,5,-145,7,
公允价值变动收益(万元),,,,,,,,,,,,,,
投资收益(万元),1468,946,479,1075,157,62,20,138,169,167,109,67,53,
对联营企业和合营企业的投资收益(万元),,,,63,,,,-75,,-34,-102,-59,-29,
汇兑收益(万元),,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,
营业利润(万元),8625,5212,2331,11097,7234,5638,2149,11440,8801,5699,7019,8791,8620,
营业外收入(万元),60,60,0,12,16,6,6,257,260,255,10312,3071,3313,
营业外支出(万元),9,9,,16,14,5,0,55,50,17,11,69,172,
非流动资产处置损失(万元),,,,,,,,,,8,,,59,
利润总额(万元),8677,5264,2331,11094,7237,5640,2156,11642,9011,5936,17319,11793,11761,
所得税费用(万元),1279,761,323,1714,924,692,238,1984,870,928,3022,2292,1832,
未确认投资损失(万元),,,,,,,,,,,,,,
净利润(万元),7398,4503,2008,9380,6312,4947,1918,9657,8141,5008,14297,9501,9929,
归属于母公司所有者的净利润(万元),7428,4503,2008,9388,6312,4947,1918,9657,8141,5008,14297,9501,7944,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,
少数股东损益(万元),-31,,,-8,,,,,,,,,1985,
基本每股收益,0.46,0.28,0.13,0.69,0.49,0.41,0.16,0.8,0.68,0.42,1.19,0.86,0.78,
稀释每股收益,0.46,0.28,0.13,0.69,0.49,0.41,0.16,0.8,0.68,0.42,1.19,0.86,0.78,
