报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),47127,27623,7614,72260,35578,24617,7705,54279,30479,21695,5945,49419,26471,17711,5849,40900,22010,37148,35484,36297,32365,
营业收入(万元),47127,27623,7614,72260,35578,24617,7705,54279,30479,21695,5945,49419,26471,17711,5849,40900,22010,37148,35484,36297,32365,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),43327,25763,8209,66414,34132,23306,7876,50435,28553,20343,5966,43695,23488,16191,5700,35478,19917,32032,30541,30847,28107,
营业成本(万元),37808,22080,6393,57924,28618,19630,6728,45354,25671,18494,5145,39949,21587,14999,5017,31941,17929,28438,26707,27322,25279,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),678,432,184,589,370,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),256,157,80,329,157,120,47,241,155,121,57,219,93,73,39,648,298,726,792,718,560,
销售费用(万元),619,407,179,949,671,436,95,575,371,205,96,641,401,200,92,433,249,299,251,212,173,
管理费用(万元),3115,2122,1136,4412,3310,2311,925,2988,1934,1184,538,2693,1392,881,487,2250,1432,2294,2433,2257,1818,
财务费用(万元),851,566,258,235,144,61,32,83,58,39,21,170,121,75,35,165,123,202,60,37,-8,
资产减值损失(万元),,,-22,1976,861,749,49,1195,362,300,109,24,-105,-38,30,40,-113,73,297,301,284,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),-10,-10,-8,-2,-200,,,90,90,90,90,,,,,,,,-2,-28,,
对联营企业和合营企业的投资收益(万元),,,,-1,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),2914,1198,-602,6182,1376,1441,-171,3925,2016,1442,69,5724,2983,1520,149,5422,2093,5115,4941,5422,4258,
营业外收入(万元),38,0,27,4,209,209,200,70,70,61,,49,6,6,0,101,77,38,103,17,13,
营业外支出(万元),9,5,3,119,18,6,0,189,192,165,131,5,,,,1,0,15,38,12,9,
非流动资产处置损失(万元),,,,,,,,,3,1,0,2,,,,,,,0,4,5,
利润总额(万元),2942,1194,-577,6067,1568,1644,30,3807,1895,1338,-62,5767,2989,1526,149,5523,2170,5138,5006,5428,4263,
所得税费用(万元),305,110,17,1169,167,141,12,1041,402,272,-31,1514,806,430,35,1463,583,1438,1323,1400,1095,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,
净利润(万元),2638,1084,-594,4897,1400,1503,18,2766,1493,1066,-31,4254,2182,1096,114,4060,1587,3701,3683,4028,3168,
归属于母公司所有者的净利润(万元),2696,1093,-550,4928,1602,1614,57,2785,1493,1066,-31,4254,2182,1096,114,4060,1587,3701,3683,4055,3191,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),-58,-9,-44,-30,-201,-111,-39,-19,,,,,,,,,,,,-27,-23,
基本每股收益,0.19,0.08,-0.04,0.36,0.12,0.12,0,0.21,0.11,0.08,-0,0.63,0.33,0.17,0.02,0.62,0.24,0.56,0.56,0.7,0.59,
稀释每股收益,0.19,0.08,-0.04,,0.12,0.12,0,,0.11,0.08,-0,0.63,,0.17,0.02,0.62,,0.56,0.56,0.7,0.59,
