报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2016-12-31,
营业总收入(万元),268200,162360,72366,339303,249893,165260,80507,352959,308994,265114,
营业收入(万元),268200,162360,72366,339303,249893,165260,80507,352959,308994,265114,
利息收入(万元),,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,
营业总成本(万元),238719,143072,64403,303733,221837,147693,72544,308578,276513,229203,
营业成本(万元),189234,114263,51043,239357,176127,116807,56961,252321,222529,185737,
利息支出(万元),,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,
研发费用(万元),15426,9443,4527,21922,15664,10004,4878,20216,16054,14148,
退保金(万元),,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,
分保费用(万元),,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,
营业税金及附加(万元),1594,1050,448,2731,1823,1262,585,2280,2704,2376,
销售费用(万元),11368,6910,3234,16131,11704,7662,3395,15098,13725,12856,
管理费用(万元),18679,11820,5791,23938,17675,11434,5603,18918,15933,14980,
财务费用(万元),2416,-414,-639,-347,-1157,300,1122,-1848,5184,-2136,
资产减值损失(万元),,,,,,515,,1594,384,1241,
公允价值变动收益(万元),388,-83,-401,47,-377,-167,-72,104,,583,
投资收益(万元),956,1,141,-263,-414,349,718,-2680,128,-509,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,
期货损益(万元),,,,,,,,,,,
托管收益(万元),,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,
营业利润(万元),32491,20657,9313,38202,29446,19673,10178,44262,34579,35961,
营业外收入(万元),4,3,1,303,302,226,13,363,117,1799,
营业外支出(万元),533,173,132,387,110,81,55,616,311,802,
非流动资产处置损失(万元),,,,,,,,,,,
利润总额(万元),31963,20488,9182,38118,29638,19818,10135,44008,34385,36958,
所得税费用(万元),5879,3815,1653,4721,5160,3462,1760,5394,5539,4779,
未确认投资损失(万元),,,,,,,,,,,
净利润(万元),26084,16673,7529,33397,24477,16356,8376,38615,28846,32179,
归属于母公司所有者的净利润(万元),26084,16673,7529,33397,24477,16356,8376,38615,28846,31231,
被合并方在合并前实现净利润(万元),,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,948,
基本每股收益,0.63,0.42,,0.83,0.61,0.41,,0.96,0.72,,
稀释每股收益,0.63,0.42,,0.83,0.61,0.41,,0.96,0.72,,
