报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),262649,163651,76332,290812,203550,127057,58215,229412,161647,163424,112804,79044,
营业收入(万元),262649,163651,76332,290812,203550,127057,58215,229412,161647,163424,112804,79044,
利息收入(万元),,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,
营业总成本(万元),223440,144921,70005,252276,176531,112734,53535,203013,143874,144364,105426,76583,
营业成本(万元),174412,111172,51219,196346,138799,88856,38621,154310,106977,116023,81764,59209,
利息支出(万元),,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,
研发费用(万元),4297,2669,869,3161,2353,,647,,1715,,,,
退保金(万元),,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,
营业税金及附加(万元),2409,1677,889,2632,1861,1152,625,1636,1293,577,398,161,
销售费用(万元),4637,2877,1275,5466,3431,2342,1007,4716,2979,3204,1644,1186,
管理费用(万元),34644,22531,11632,39095,27462,17277,8426,32533,23883,24820,20457,14339,
财务费用(万元),3041,3995,3891,4265,2022,2618,4050,9570,6696,-69,753,1336,
资产减值损失(万元),,,43,1312,603,490,160,247,331,-189,412,350,
公允价值变动收益(万元),132,-52,156,-156,-190,,,,,,,,
投资收益(万元),-1950,-389,-305,-171,-19,,,,,,,,
对联营企业和合营企业的投资收益(万元),-712,-580,-108,-113,-19,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,
营业利润(万元),36782,18260,6170,38005,26776,14291,4680,26297,17708,18984,7291,2461,
营业外收入(万元),1234,602,327,2305,708,262,58,1579,626,2838,1582,641,
营业外支出(万元),237,192,141,258,203,148,3,24,22,371,122,212,
非流动资产处置损失(万元),,,,,,,,,,,,176,
利润总额(万元),37779,18669,6356,40051,27281,14406,4735,27852,18312,21451,8751,2891,
所得税费用(万元),6033,3001,1125,6148,4232,2228,771,5149,3141,3760,1367,791,
未确认投资损失(万元),,,,,,,,,,,,,
净利润(万元),31746,15668,5231,33903,23049,12178,3964,22702,15171,17691,7385,2100,
归属于母公司所有者的净利润(万元),32838,16132,5440,33922,23063,12216,4082,23086,15532,17691,7385,2100,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,
少数股东损益(万元),-1092,-464,-209,-20,-14,-38,-119,-383,-361,,,,
基本每股收益,0.51,0.25,0.09,0.57,0.39,0.21,0.07,0.39,0.26,0.35,,,
稀释每股收益,0.51,0.25,0.09,0.57,0.39,0.21,0.07,0.39,0.26,0.35,,,
