报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),81982,51559,25472,110442,79888,51506,22620,98369,70610,44254,20990,81523,58192,38102,76518,37249,74442,63085,52511,
营业收入(万元),81982,51559,25472,110442,79888,51506,22620,98369,70610,44254,20990,81523,58192,38102,76518,37249,74442,63085,52511,
利息收入(万元),,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,
营业总成本(万元),61950,39964,20100,88387,64513,42665,19117,79643,57077,36462,17099,65263,45971,30147,64348,30811,61901,54460,44677,
营业成本(万元),55004,35194,17788,77803,57432,37512,16702,69199,49901,31754,15044,55804,39937,25629,56296,27980,53934,48778,41040,
利息支出(万元),,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,
研发费用(万元),2523,1602,798,3922,2737,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),503,320,166,720,490,299,150,653,434,271,106,797,479,378,770,222,416,320,205,
销售费用(万元),2387,1520,660,3622,2531,1716,705,3893,2622,1757,763,3564,2056,1465,3148,1538,3190,2369,1945,
管理费用(万元),2065,1470,508,2772,1810,3173,1215,5536,3778,2461,1049,5484,3723,2691,4691,1269,4407,2949,2433,
财务费用(万元),-533,-142,157,-566,-553,-151,240,306,273,168,41,-417,-218,-158,-527,-230,-53,60,-212,
资产减值损失(万元),,,23,115,67,115,106,56,69,51,96,32,-6,142,-32,32,6,-16,-734,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,
投资收益(万元),2201,1644,765,2506,1948,1192,482,1133,695,484,170,587,426,222,538,99,774,126,230,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,-2,-172,,,-86,-103,24,-70,41,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,
营业利润(万元),22986,13949,6772,25467,18159,10781,4628,21106,14421,8404,4366,16847,12647,8178,12708,6538,13315,8751,8064,
营业外收入(万元),76,34,21,322,234,212,13,751,813,485,18,850,674,532,730,236,237,553,212,
营业外支出(万元),13,13,10,27,27,16,10,13,13,12,11,92,81,31,108,27,53,131,214,
非流动资产处置损失(万元),,,,,,,,,1,1,,28,21,21,31,17,29,108,1,
利润总额(万元),23049,13970,6783,25762,18367,10977,4631,21845,15221,8878,4373,17605,13240,8679,13330,6747,13499,9173,8063,
所得税费用(万元),3186,1923,931,3445,2450,1509,638,3008,2121,1237,587,2596,1941,1294,1944,995,1991,1361,1207,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,
净利润(万元),19864,12047,5852,22317,15917,9468,3993,18837,13100,7640,3786,15009,11298,7385,11386,5751,11508,7812,6856,
归属于母公司所有者的净利润(万元),19864,12047,5852,22317,15917,9468,3993,18837,13100,7640,3786,15009,11298,7385,11386,5751,11508,7812,6856,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,
基本每股收益,1.03,0.62,0.48,1.8,1.28,0.76,0.52,2.85,2.1,1.32,0.65,2.58,1.94,1.27,1.96,0.99,1.98,1.65,1.48,
稀释每股收益,1.03,0.62,0.48,1.8,1.28,0.76,0.52,2.85,2.1,1.32,0.65,2.58,1.94,1.27,1.96,,1.98,,,
