报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2016-12-31,
营业总收入(万元),635906,353954,134116,764724,557779,343769,150793,632268,459830,317677,
营业收入(万元),635906,353954,134116,764724,557779,343769,150793,632268,459830,317677,
利息收入(万元),,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,
营业总成本(万元),594412,334311,123903,719951,523904,323386,142878,599630,424626,289794,
营业成本(万元),564584,318283,118326,682164,500209,307604,135922,568294,399798,271203,
利息支出(万元),,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,
研发费用(万元),2347,995,279,1918,1292,849,312,1213,655,477,
退保金(万元),,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,
分保费用(万元),,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,
营业税金及附加(万元),805,547,380,1531,859,718,257,1378,909,593,
销售费用(万元),15173,7650,1971,20387,12528,7989,3211,16428,12374,9366,
管理费用(万元),6741,4076,1599,9610,6223,4209,2131,8208,6603,5207,
财务费用(万元),4763,2760,1348,4341,2793,2016,1045,3059,2314,1581,
资产减值损失(万元),,,,,,-84,,1050,1972,1367,
公允价值变动收益(万元),,,,,,,,,,,
投资收益(万元),-120,-117,-51,-241,-158,-121,,-8,-2,-39,
对联营企业和合营企业的投资收益(万元),,,,,,,,,-2,-39,
汇兑收益(万元),,,,,,,,,,,
期货损益(万元),,,,,,,,,,,
托管收益(万元),,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,
营业利润(万元),41320,19605,8163,45022,33641,19904,10094,33788,35454,27843,
营业外收入(万元),44,325,88,158,9,5,0,274,57,274,
营业外支出(万元),102,64,64,773,276,242,23,194,322,230,
非流动资产处置损失(万元),,,,,,,,,,,
利润总额(万元),41262,19866,8187,44407,33374,19666,10070,33868,35189,27888,
所得税费用(万元),10497,4905,2070,11072,7520,5009,2317,8741,8926,7031,
未确认投资损失(万元),,,,,,,,,,,
净利润(万元),30765,14962,6117,33335,25854,14657,7753,25127,26263,20857,
归属于母公司所有者的净利润(万元),30765,14962,6117,33335,25854,14657,7753,25127,26263,20857,
被合并方在合并前实现净利润(万元),,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,
基本每股收益,0.85,0.43,0.18,0.95,0.69,0.42,0.24,0.86,1.31,1.04,
稀释每股收益,0.85,,0.18,0.95,0.69,0.42,0.24,0.86,1.31,1.04,
