报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2018-12-31,2017-12-31,2016-12-31,
营业总收入(万元),53325,36660,89329,62168,76312,55840,44279,
营业收入(万元),53325,36660,89329,62168,76312,55840,44279,
利息收入(万元),,,,,,,,
已赚保费(万元),,,,,,,,
手续费及佣金收入(万元),,,,,,,,
房地产销售收入(万元),,,,,,,,
其他业务收入(万元),,,,,,,,
营业总成本(万元),43355,30034,69547,48093,56180,46709,38911,
营业成本(万元),36220,25074,58733,40450,45995,37226,32169,
利息支出(万元),,,,,,,,
手续费及佣金支出(万元),,,,,,,,
房地产销售成本(万元),,,,,,,,
研发费用(万元),,,,,,,,
退保金(万元),,,,,,,,
赔付支出净额(万元),,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,
保单红利支出(万元),,,,,,,,
分保费用(万元),,,,,,,,
其他业务成本(万元),,,,,,,,
营业税金及附加(万元),323,266,706,518,665,362,459,
销售费用(万元),4246,2861,5738,4137,5307,4732,3684,
管理费用(万元),2465,1737,4101,2797,3428,4183,2506,
财务费用(万元),100,96,269,192,224,220,106,
资产减值损失(万元),,,,,561,-14,-12,
公允价值变动收益(万元),1,1,,,,,,
投资收益(万元),203,203,370,324,434,624,314,
对联营企业和合营企业的投资收益(万元),184,184,,153,,,,
汇兑收益(万元),,,,,,,,
期货损益(万元),,,,,,,,
托管收益(万元),,,,,,,,
补贴收入(万元),,,,,,,,
其他业务利润(万元),,,,,,,,
营业利润(万元),10571,6879,20076,14379,20585,9845,5682,
营业外收入(万元),11,4,52,37,52,27,78,
营业外支出(万元),116,108,262,226,543,508,118,
非流动资产处置损失(万元),,,,,,,,
利润总额(万元),10465,6774,19866,14190,20094,9364,5642,
所得税费用(万元),1606,1109,3058,2187,2804,1837,1128,
未确认投资损失(万元),,,,,,,,
净利润(万元),8860,5666,16808,12003,17290,7527,4513,
归属于母公司所有者的净利润(万元),8553,5452,15993,11459,15915,6793,4397,
被合并方在合并前实现净利润(万元),,,,,,,,
少数股东损益(万元),306,214,815,544,1375,734,117,
基本每股收益,0.71,0.45,1.33,0.95,1.33,0.75,,
稀释每股收益,0.71,0.45,1.33,0.95,1.33,0.75,,
